ccaa,code,mentions,top_sources,top_titles,last_update,cycle
Castilla y León,ES-CL,37,"{'eldiario': 6, 'elmundo': 4, 'okdiario': 4}","Mañueco busca recuperar el liderazgo en Soria: ""Cada voto que no sea para el PP es un voto para la izquierda"" | IU-Sumar enarbolan el 'no a la guerra' para activar a la izquierda en Castilla y León | El conjunto histórico de Burgos que esconde una joya del Románico rodeada de naturaleza en el Cañón del Ebro",2026-03-07 15:02,2026-03-07 15:02
Comunidad Valenciana,ES-VC,34,"{'eldiario': 5, 'okdiario': 5, 'levante_emv': 4}","Centro de Arte Hortensia Herrero. La joya escondida de Valencia | Trencà de Perols, la tradición de la Semana Santa valenciana que rompe el silencio con pólvora y cerámica | El taxi hará huelga a la japonesa en Valencia durante Fallas y Magdalena: gratis de 13 a 15 horas el 14 y 18 de marzo",2026-03-07 15:02,2026-03-07 15:02
Baleares,ES-IB,28,"{'okdiario': 12, 'eldiario': 3, 'google_news_es': 3}",Detenido en Ibiza un hombre por intentar secuestrar a una menor a la salida de un colegio | Cuatro agresiones diarias en Baleares a los profesionales sanitarios en hospitales y centros de salud | El PSOE tapa su riada de casos de acoso y prostitución y reivindica en Baleares «más feminismo que nunca»,2026-03-07 15:02,2026-03-07 15:02
Cantabria,ES-CB,23,"{'elmundo_espana': 4, 'elcorreo': 3, '20minutos': 2}","La pizzería que Marta Pombo aconseja para desayunar, comer y cenar en Cantabria: ""Merece la recomendación"" | Santander descarta el cese del jefe de la Policía local o de otro cargo tras la tragedia de la pasarela | La jueza tendrá que decidir si hay algún responsable penal por el siniestro de Santander",2026-03-07 15:02,2026-03-07 15:02
Extremadura,ES-EX,22,"{'levante_emv': 2, 'elespanol': 2, 'elpais': 2}",Habrá primarias en el PSOE de Extremadura: Soraya Vega y González Andrade se postulan para la secretaría general | El 'no' de Vox a María Guardiola en Extremadura anticipa unas negociaciones duras en Castilla y León | El reloj electoral marca el paso en Extremadura tras el intento fallido de investidura de María Guardiola,2026-03-07 15:02,2026-03-07 15:02
Galicia,ES-GA,21,"{'google_news_es': 3, 'levante_emv': 3, 'elconfidencial': 2}",Listado de participantes en la Grada Solidaria del Dépor - Granada CF - Deportivo de La Coruña | El estreno del AVE entre Vigo y Oporto avanza... hacia el límite de 2040 fijado por Bruselas | La Xunta regó de dinero europeo al Arzobispado de Santiago para renovar una hospedería que operaba sin licencia,2026-03-07 15:02,2026-03-07 15:02
País Vasco,ES-PV,20,"{'elcorreo': 11, 'google_news_es': 3, 'bbc_mundo': 1}","Vitoria vive de primera mano cómo sería ir al monte con diversidad funcional | 6 espectaculares museos que se inauguran este año y que buscan replicar el ""efecto Bilbao"" | El Supremo niega la residencia a un enfermo renal en Euskadi porque el diagnóstico ya era conocido en su país de origen",2026-03-07 15:02,2026-03-07 15:02
Murcia,ES-MC,14,"{'okdiario': 5, 'google_news_es': 2, 'elespanol': 2}",Condenado a dos años tras reconocer que agredió sexualmente a una niña en Murcia | El pueblo de Mallorca con apenas 200 habitantes y que cuenta con la montaña más alta de Balears | Antelo admite a OKDIARIO que eligió la empresa de su amigo para alquilar una furgoneta: «Era la única en Murcia»,2026-03-07 15:02,2026-03-07 15:02
Castilla-La Mancha,ES-CM,11,"{'google_news_es': 5, 'heraldo_aragon': 4, 'elconfidencial': 2}","Illescas anima a todos los toledanos a participar en las actividades programadas por el 8M - Ayuntamiento de Toledo | ‘Legado Artesano’ estrena participación en Forma Design Fair Madrid y extiende a ARCO su presencia en los grandes escaparates del diseño - Gobierno de Castilla-La Mancha | La Feria de Artes Escénicas y Musicales celebra su 30 aniversario llevando ‘Tengo gente en el cuerpo’, de Ultramarinos de Lucas, a distintos municipios - Gobierno de Castilla-La Mancha",2026-03-07 15:02,2026-03-07 15:02
Canarias,ES-CN,8,"{'google_news_es': 4, 'elmundo_espana': 2, 'elconfidencial': 1}","Dos heridos, uno de ellos grave, tras una caída en parapente en una playa de Adeje (Tenerife) | Nueva brega liguera en el Heliodoro Rodríguez López - CD Tenerife | Con dos centros cerrados y 15 detenidos por presuntos malos tratos, una ONG sigue atendiendo a mil menores migrantes en Canarias",2026-03-07 15:02,2026-03-07 15:02
Asturias,ES-AS,5,"{'google_news_es': 1, 'levante_emv': 1, '20minutos': 1}",El Qatar Airways Premier Padel Tour afronta hoy en Gijón la jornada de semifinales - Ayuntamiento de Gijón | La Guardia Civil busca a una mujer de 56 años que se cayó a un río en Asturias | Vuelos directos desde Asturias: los 22 lugares a los que viajar sin escalas,2026-03-07 15:02,2026-03-07 15:02
Navarra,ES-NC,4,"{'okdiario': 1, 'google_news_politica': 1, 'elmundo_espana': 1}","Es uno de los museos más insólitos de España y está enclavado en el mejor paraje natural de toda Navarra | El Parlamento de Navarra pide al Gobierno de España oficializar el título de agente de igualdad - Navarra.com | Los vecinos de Cintruénigo (Navarra) se manifestarán contra el acoso escolar tras la muerte de una menor: ""No hay recursos suficientes""",2026-03-07 15:02,2026-03-07 15:02
Ceuta,ES-CE,4,"{'okdiario': 1, 'elespanol': 1, 'google_news_es': 1}",La Guardia Civil de Ceuta lucha contra el narcotráfico con coches de más de 20 años que se caen a pedazos | Extranjería cifra en 800 los migrantes llegados a Ceuta tras la regularización de Sánchez: 1.200% más que en 2025 | La Facultad de Ciencias de la Salud de Ceuta reconoce la excelencia académica en la celebración del patrón de Enfermería - Universidad de Granada,2026-03-07 15:02,2026-03-07 15:02
La Rioja,ES-RI,2,"{'okdiario': 1, 'eldiario': 1}",Preocupación total entre los expertos: sobre lo que pasa en un embalse en La Rioja con las especies protegidas en riesgo | Una escuela de ilustración en un pueblo de La Rioja de 60 habitantes que recoge el legado del Scriptorium de San Millán de la Cogolla,2026-03-07 15:02,2026-03-07 15:02
Melilla,ES-ML,0,{},,2026-03-07 15:02,2026-03-07 15:02
Aragón,ES-AR,125,"{'heraldo_aragon': 117, 'eldiario': 1, 'elpais': 1}","El Club Balonmano Huesca y el Balonmano Dominicios renuevan su convenio de colaboración | Una investigación revisa la entrada de Catalina de Aragón en la corte inglesa y destapa el trato racista que encontró | El Zaragoza, un histórico en horas críticas, busca la gesta: hundido en la tabla, es el equipo que menos goles marca y el tercero más goleado",2026-03-07 15:32,2026-03-07 15:32
Madrid,ES-MD,122,"{'20minutos': 23, 'elpais': 13, 'google_news_es': 13}",Pedro Sánchez acusa a Feijóo y Abascal de apoyar la guerra contra Irán y advierte de su impacto en la economía española - El Diario de Madrid | Laporta acusa a Font de “llevar el Barça en un ordenador” y al Madrid de recibir “ayudas arbitrales” | Un estadounidense que lleva 20 años en Madrid explica por qué el servicio español parece maleducado pero es más honesto que el de EEUU: &quot;En España te dicen &#039;no&#039; a la cara y punto&quot;,2026-03-07 15:32,2026-03-07 15:32
Cataluña,ES-CT,72,"{'lavanguardia': 21, 'heraldo_aragon': 10, 'elpais': 9}","Los embalses de Catalunya, al límite de su capacidad, obligados a liberar agua | Bomberos buscan al desaparecido en Llinars (Barcelona) en un radio de 30 kilómetros hasta el mar | Manifestación 8M en Barcelona por el Día de la Mujer 2026: horario y recorrido de la marcha",2026-03-07 15:32,2026-03-07 15:32
Andalucía,ES-AN,59,"{'google_news_es': 12, 'heraldo_aragon': 9, 'levante_emv': 5}","Un Miguel Poveda 'enlorquecido' se estrena como director en el Festival de Málaga: ""Mucha de su poesía resuena en mi cabeza como música"" | El juez ordena buscar el móvil de la madre del niño asesinado en Garrucha (Almería) en diciembre | Increíble momento: nace una cría de una especie en extinción ante los visitantes en este zoo de Andalucía",2026-03-07 15:32,2026-03-07 15:32
Castilla y León,ES-CL,38,"{'eldiario': 6, 'elmundo': 4, 'okdiario': 4}","Por un puñado de votos: radiografía del 'voto útil' e 'inútil' en Castilla y León | Mañueco busca recuperar el liderazgo en Soria: ""Cada voto que no sea para el PP es un voto para la izquierda"" | IU-Sumar enarbolan el 'no a la guerra' para activar a la izquierda en Castilla y León",2026-03-07 15:32,2026-03-07 15:32
