source,news_count,intensity_index,last_update,cycle
elmundo_internacional,96,4.3,2026-03-12 22:33,2026-03-12 22:33
elpais_internacional,78,3.5,2026-03-12 22:33,2026-03-12 22:33
newtral,66,3.0,2026-03-12 22:33,2026-03-12 22:33
20minutos,2259,100.0,2026-03-12 23:03,2026-03-12 23:03
heraldo_aragon,1952,86.4,2026-03-12 23:03,2026-03-12 23:03
levante_emv,1915,84.8,2026-03-12 23:03,2026-03-12 23:03
google_news_es,1903,84.2,2026-03-12 23:03,2026-03-12 23:03
okdiario,1881,83.3,2026-03-12 23:03,2026-03-12 23:03
lavanguardia,1672,74.0,2026-03-12 23:03,2026-03-12 23:03
elcorreo,1543,68.3,2026-03-12 23:03,2026-03-12 23:03
elpais,1251,55.4,2026-03-12 23:03,2026-03-12 23:03
eldiario,788,34.9,2026-03-12 23:03,2026-03-12 23:03
huffington_es,617,27.3,2026-03-12 23:03,2026-03-12 23:03
expansion,486,21.5,2026-03-12 23:03,2026-03-12 23:03
elespanol,466,20.6,2026-03-12 23:03,2026-03-12 23:03
elmundo,453,20.1,2026-03-12 23:03,2026-03-12 23:03
google_news_politica,394,17.4,2026-03-12 23:03,2026-03-12 23:03
france24_es,382,16.9,2026-03-12 23:03,2026-03-12 23:03
infolibre,258,11.4,2026-03-12 23:03,2026-03-12 23:03
europapress,258,11.4,2026-03-12 23:03,2026-03-12 23:03
elconfidencial,148,6.6,2026-03-12 23:03,2026-03-12 23:03
bbc_mundo,129,5.7,2026-03-12 23:03,2026-03-12 23:03
elmundo_espana,129,5.7,2026-03-12 23:03,2026-03-12 23:03
maldita,112,5.0,2026-03-12 23:03,2026-03-12 23:03
elmundo_internacional,96,4.2,2026-03-12 23:03,2026-03-12 23:03
elpais_internacional,78,3.5,2026-03-12 23:03,2026-03-12 23:03
newtral,66,2.9,2026-03-12 23:03,2026-03-12 23:03
20minutos,2270,100.0,2026-03-12 23:33,2026-03-12 23:33
heraldo_aragon,1952,86.0,2026-03-12 23:33,2026-03-12 23:33
levante_emv,1917,84.4,2026-03-12 23:33,2026-03-12 23:33
google_news_es,1905,83.9,2026-03-12 23:33,2026-03-12 23:33
okdiario,1883,83.0,2026-03-12 23:33,2026-03-12 23:33
lavanguardia,1673,73.7,2026-03-12 23:33,2026-03-12 23:33
elcorreo,1552,68.4,2026-03-12 23:33,2026-03-12 23:33
elpais,1254,55.2,2026-03-12 23:33,2026-03-12 23:33
eldiario,788,34.7,2026-03-12 23:33,2026-03-12 23:33
huffington_es,617,27.2,2026-03-12 23:33,2026-03-12 23:33
expansion,486,21.4,2026-03-12 23:33,2026-03-12 23:33
elespanol,466,20.5,2026-03-12 23:33,2026-03-12 23:33
elmundo,453,20.0,2026-03-12 23:33,2026-03-12 23:33
google_news_politica,394,17.4,2026-03-12 23:33,2026-03-12 23:33
france24_es,385,17.0,2026-03-12 23:33,2026-03-12 23:33
europapress,260,11.5,2026-03-12 23:33,2026-03-12 23:33
infolibre,258,11.4,2026-03-12 23:33,2026-03-12 23:33
elconfidencial,148,6.5,2026-03-12 23:33,2026-03-12 23:33
bbc_mundo,129,5.7,2026-03-12 23:33,2026-03-12 23:33
elmundo_espana,129,5.7,2026-03-12 23:33,2026-03-12 23:33
maldita,112,4.9,2026-03-12 23:33,2026-03-12 23:33
elmundo_internacional,96,4.2,2026-03-12 23:33,2026-03-12 23:33
elpais_internacional,78,3.4,2026-03-12 23:33,2026-03-12 23:33
newtral,66,2.9,2026-03-12 23:33,2026-03-12 23:33
20minutos,2285,100.0,2026-03-13 00:03,2026-03-13 00:03
heraldo_aragon,1952,85.4,2026-03-13 00:03,2026-03-13 00:03
levante_emv,1919,84.0,2026-03-13 00:03,2026-03-13 00:03
google_news_es,1912,83.7,2026-03-13 00:03,2026-03-13 00:03
okdiario,1888,82.6,2026-03-13 00:03,2026-03-13 00:03
lavanguardia,1679,73.5,2026-03-13 00:03,2026-03-13 00:03
elcorreo,1554,68.0,2026-03-13 00:03,2026-03-13 00:03
elpais,1260,55.1,2026-03-13 00:03,2026-03-13 00:03
eldiario,788,34.5,2026-03-13 00:03,2026-03-13 00:03
huffington_es,619,27.1,2026-03-13 00:03,2026-03-13 00:03
expansion,486,21.3,2026-03-13 00:03,2026-03-13 00:03
elespanol,468,20.5,2026-03-13 00:03,2026-03-13 00:03
elmundo,453,19.8,2026-03-13 00:03,2026-03-13 00:03
google_news_politica,395,17.3,2026-03-13 00:03,2026-03-13 00:03
france24_es,389,17.0,2026-03-13 00:03,2026-03-13 00:03
europapress,261,11.4,2026-03-13 00:03,2026-03-13 00:03
infolibre,258,11.3,2026-03-13 00:03,2026-03-13 00:03
elconfidencial,148,6.5,2026-03-13 00:03,2026-03-13 00:03
bbc_mundo,130,5.7,2026-03-13 00:03,2026-03-13 00:03
elmundo_espana,129,5.6,2026-03-13 00:03,2026-03-13 00:03
maldita,112,4.9,2026-03-13 00:03,2026-03-13 00:03
elmundo_internacional,96,4.2,2026-03-13 00:03,2026-03-13 00:03
elpais_internacional,78,3.4,2026-03-13 00:03,2026-03-13 00:03
newtral,66,2.9,2026-03-13 00:03,2026-03-13 00:03
20minutos,2287,100.0,2026-03-13 00:33,2026-03-13 00:33
heraldo_aragon,1952,85.4,2026-03-13 00:33,2026-03-13 00:33
levante_emv,1925,84.2,2026-03-13 00:33,2026-03-13 00:33
google_news_es,1918,83.9,2026-03-13 00:33,2026-03-13 00:33
okdiario,1889,82.6,2026-03-13 00:33,2026-03-13 00:33
lavanguardia,1683,73.6,2026-03-13 00:33,2026-03-13 00:33
elcorreo,1585,69.3,2026-03-13 00:33,2026-03-13 00:33
elpais,1260,55.1,2026-03-13 00:33,2026-03-13 00:33
eldiario,789,34.5,2026-03-13 00:33,2026-03-13 00:33
huffington_es,619,27.1,2026-03-13 00:33,2026-03-13 00:33
expansion,486,21.3,2026-03-13 00:33,2026-03-13 00:33
elespanol,468,20.5,2026-03-13 00:33,2026-03-13 00:33
elmundo,453,19.8,2026-03-13 00:33,2026-03-13 00:33
google_news_politica,397,17.4,2026-03-13 00:33,2026-03-13 00:33
france24_es,389,17.0,2026-03-13 00:33,2026-03-13 00:33
europapress,261,11.4,2026-03-13 00:33,2026-03-13 00:33
infolibre,258,11.3,2026-03-13 00:33,2026-03-13 00:33
elconfidencial,148,6.5,2026-03-13 00:33,2026-03-13 00:33
elmundo_espana,137,6.0,2026-03-13 00:33,2026-03-13 00:33
bbc_mundo,130,5.7,2026-03-13 00:33,2026-03-13 00:33
maldita,112,4.9,2026-03-13 00:33,2026-03-13 00:33
elmundo_internacional,103,4.5,2026-03-13 00:33,2026-03-13 00:33
elpais_internacional,78,3.4,2026-03-13 00:33,2026-03-13 00:33
newtral,66,2.9,2026-03-13 00:33,2026-03-13 00:33
20minutos,2290,100.0,2026-03-13 01:03,2026-03-13 01:03
heraldo_aragon,1952,85.2,2026-03-13 01:03,2026-03-13 01:03
levante_emv,1925,84.1,2026-03-13 01:03,2026-03-13 01:03
google_news_es,1923,84.0,2026-03-13 01:03,2026-03-13 01:03
okdiario,1890,82.5,2026-03-13 01:03,2026-03-13 01:03
lavanguardia,1697,74.1,2026-03-13 01:03,2026-03-13 01:03
elcorreo,1594,69.6,2026-03-13 01:03,2026-03-13 01:03
elpais,1261,55.1,2026-03-13 01:03,2026-03-13 01:03
eldiario,789,34.5,2026-03-13 01:03,2026-03-13 01:03
huffington_es,619,27.0,2026-03-13 01:03,2026-03-13 01:03
expansion,486,21.2,2026-03-13 01:03,2026-03-13 01:03
elespanol,468,20.4,2026-03-13 01:03,2026-03-13 01:03
elmundo,453,19.8,2026-03-13 01:03,2026-03-13 01:03
google_news_politica,394,17.2,2026-03-13 01:03,2026-03-13 01:03
france24_es,390,17.0,2026-03-13 01:03,2026-03-13 01:03
europapress,261,11.4,2026-03-13 01:03,2026-03-13 01:03
infolibre,258,11.3,2026-03-13 01:03,2026-03-13 01:03
elconfidencial,148,6.5,2026-03-13 01:03,2026-03-13 01:03
elmundo_espana,137,6.0,2026-03-13 01:03,2026-03-13 01:03
bbc_mundo,130,5.7,2026-03-13 01:03,2026-03-13 01:03
maldita,112,4.9,2026-03-13 01:03,2026-03-13 01:03
elmundo_internacional,103,4.5,2026-03-13 01:03,2026-03-13 01:03
elpais_internacional,78,3.4,2026-03-13 01:03,2026-03-13 01:03
newtral,66,2.9,2026-03-13 01:03,2026-03-13 01:03
20minutos,2290,100.0,2026-03-13 01:33,2026-03-13 01:33
heraldo_aragon,1952,85.2,2026-03-13 01:33,2026-03-13 01:33
levante_emv,1930,84.3,2026-03-13 01:33,2026-03-13 01:33
google_news_es,1925,84.1,2026-03-13 01:33,2026-03-13 01:33
okdiario,1890,82.5,2026-03-13 01:33,2026-03-13 01:33
lavanguardia,1704,74.4,2026-03-13 01:33,2026-03-13 01:33
elcorreo,1597,69.7,2026-03-13 01:33,2026-03-13 01:33
elpais,1262,55.1,2026-03-13 01:33,2026-03-13 01:33
eldiario,789,34.5,2026-03-13 01:33,2026-03-13 01:33
huffington_es,620,27.1,2026-03-13 01:33,2026-03-13 01:33
expansion,486,21.2,2026-03-13 01:33,2026-03-13 01:33
elespanol,468,20.4,2026-03-13 01:33,2026-03-13 01:33
elmundo,453,19.8,2026-03-13 01:33,2026-03-13 01:33
google_news_politica,395,17.2,2026-03-13 01:33,2026-03-13 01:33
france24_es,392,17.1,2026-03-13 01:33,2026-03-13 01:33
europapress,261,11.4,2026-03-13 01:33,2026-03-13 01:33
infolibre,258,11.3,2026-03-13 01:33,2026-03-13 01:33
elconfidencial,148,6.5,2026-03-13 01:33,2026-03-13 01:33
elmundo_espana,137,6.0,2026-03-13 01:33,2026-03-13 01:33
bbc_mundo,130,5.7,2026-03-13 01:33,2026-03-13 01:33
maldita,112,4.9,2026-03-13 01:33,2026-03-13 01:33
elmundo_internacional,103,4.5,2026-03-13 01:33,2026-03-13 01:33
elpais_internacional,78,3.4,2026-03-13 01:33,2026-03-13 01:33
newtral,66,2.9,2026-03-13 01:33,2026-03-13 01:33
20minutos,2290,100.0,2026-03-13 02:03,2026-03-13 02:03
heraldo_aragon,1952,85.2,2026-03-13 02:03,2026-03-13 02:03
google_news_es,1932,84.4,2026-03-13 02:03,2026-03-13 02:03
levante_emv,1930,84.3,2026-03-13 02:03,2026-03-13 02:03
okdiario,1891,82.6,2026-03-13 02:03,2026-03-13 02:03
lavanguardia,1705,74.5,2026-03-13 02:03,2026-03-13 02:03
elcorreo,1598,69.8,2026-03-13 02:03,2026-03-13 02:03
elpais,1262,55.1,2026-03-13 02:03,2026-03-13 02:03
eldiario,789,34.5,2026-03-13 02:03,2026-03-13 02:03
huffington_es,621,27.1,2026-03-13 02:03,2026-03-13 02:03
expansion,486,21.2,2026-03-13 02:03,2026-03-13 02:03
elespanol,468,20.4,2026-03-13 02:03,2026-03-13 02:03
elmundo,453,19.8,2026-03-13 02:03,2026-03-13 02:03
google_news_politica,395,17.2,2026-03-13 02:03,2026-03-13 02:03
france24_es,393,17.2,2026-03-13 02:03,2026-03-13 02:03
europapress,261,11.4,2026-03-13 02:03,2026-03-13 02:03
infolibre,258,11.3,2026-03-13 02:03,2026-03-13 02:03
elconfidencial,148,6.5,2026-03-13 02:03,2026-03-13 02:03
elmundo_espana,137,6.0,2026-03-13 02:03,2026-03-13 02:03
bbc_mundo,130,5.7,2026-03-13 02:03,2026-03-13 02:03
maldita,112,4.9,2026-03-13 02:03,2026-03-13 02:03
elmundo_internacional,103,4.5,2026-03-13 02:03,2026-03-13 02:03
elpais_internacional,78,3.4,2026-03-13 02:03,2026-03-13 02:03
newtral,66,2.9,2026-03-13 02:03,2026-03-13 02:03
