source,news_count,intensity_index,last_update,cycle
huffington_es,571,26.6,2026-03-12 15:33,2026-03-12 15:33
expansion,471,22.0,2026-03-12 15:33,2026-03-12 15:33
elespanol,439,20.5,2026-03-12 15:33,2026-03-12 15:33
elmundo,423,19.7,2026-03-12 15:33,2026-03-12 15:33
google_news_politica,378,17.6,2026-03-12 15:33,2026-03-12 15:33
france24_es,352,16.4,2026-03-12 15:33,2026-03-12 15:33
infolibre,254,11.8,2026-03-12 15:33,2026-03-12 15:33
europapress,247,11.5,2026-03-12 15:33,2026-03-12 15:33
elconfidencial,144,6.7,2026-03-12 15:33,2026-03-12 15:33
elmundo_espana,129,6.0,2026-03-12 15:33,2026-03-12 15:33
bbc_mundo,123,5.7,2026-03-12 15:33,2026-03-12 15:33
maldita,109,5.1,2026-03-12 15:33,2026-03-12 15:33
elmundo_internacional,89,4.2,2026-03-12 15:33,2026-03-12 15:33
elpais_internacional,76,3.5,2026-03-12 15:33,2026-03-12 15:33
newtral,58,2.7,2026-03-12 15:33,2026-03-12 15:33
20minutos,2156,100.0,2026-03-12 16:34,2026-03-12 16:34
heraldo_aragon,1864,86.5,2026-03-12 16:34,2026-03-12 16:34
google_news_es,1819,84.4,2026-03-12 16:34,2026-03-12 16:34
okdiario,1803,83.6,2026-03-12 16:34,2026-03-12 16:34
levante_emv,1795,83.3,2026-03-12 16:34,2026-03-12 16:34
lavanguardia,1630,75.6,2026-03-12 16:34,2026-03-12 16:34
elcorreo,1467,68.0,2026-03-12 16:34,2026-03-12 16:34
elpais,1196,55.5,2026-03-12 16:34,2026-03-12 16:34
eldiario,768,35.6,2026-03-12 16:34,2026-03-12 16:34
huffington_es,576,26.7,2026-03-12 16:34,2026-03-12 16:34
expansion,473,21.9,2026-03-12 16:34,2026-03-12 16:34
elespanol,442,20.5,2026-03-12 16:34,2026-03-12 16:34
elmundo,433,20.1,2026-03-12 16:34,2026-03-12 16:34
google_news_politica,379,17.6,2026-03-12 16:34,2026-03-12 16:34
france24_es,358,16.6,2026-03-12 16:34,2026-03-12 16:34
infolibre,254,11.8,2026-03-12 16:34,2026-03-12 16:34
europapress,248,11.5,2026-03-12 16:34,2026-03-12 16:34
elconfidencial,144,6.7,2026-03-12 16:34,2026-03-12 16:34
elmundo_espana,129,6.0,2026-03-12 16:34,2026-03-12 16:34
bbc_mundo,124,5.8,2026-03-12 16:34,2026-03-12 16:34
maldita,110,5.1,2026-03-12 16:34,2026-03-12 16:34
elmundo_internacional,96,4.5,2026-03-12 16:34,2026-03-12 16:34
elpais_internacional,76,3.5,2026-03-12 16:34,2026-03-12 16:34
newtral,60,2.8,2026-03-12 16:34,2026-03-12 16:34
20minutos,2166,100.0,2026-03-12 17:03,2026-03-12 17:03
heraldo_aragon,1873,86.5,2026-03-12 17:03,2026-03-12 17:03
google_news_es,1823,84.2,2026-03-12 17:03,2026-03-12 17:03
levante_emv,1810,83.6,2026-03-12 17:03,2026-03-12 17:03
okdiario,1810,83.6,2026-03-12 17:03,2026-03-12 17:03
lavanguardia,1631,75.3,2026-03-12 17:03,2026-03-12 17:03
elcorreo,1480,68.3,2026-03-12 17:03,2026-03-12 17:03
elpais,1205,55.6,2026-03-12 17:03,2026-03-12 17:03
eldiario,770,35.5,2026-03-12 17:03,2026-03-12 17:03
huffington_es,577,26.6,2026-03-12 17:03,2026-03-12 17:03
expansion,473,21.8,2026-03-12 17:03,2026-03-12 17:03
elespanol,443,20.5,2026-03-12 17:03,2026-03-12 17:03
elmundo,435,20.1,2026-03-12 17:03,2026-03-12 17:03
google_news_politica,383,17.7,2026-03-12 17:03,2026-03-12 17:03
france24_es,361,16.7,2026-03-12 17:03,2026-03-12 17:03
infolibre,254,11.7,2026-03-12 17:03,2026-03-12 17:03
europapress,248,11.4,2026-03-12 17:03,2026-03-12 17:03
elconfidencial,144,6.6,2026-03-12 17:03,2026-03-12 17:03
elmundo_espana,129,6.0,2026-03-12 17:03,2026-03-12 17:03
bbc_mundo,124,5.7,2026-03-12 17:03,2026-03-12 17:03
maldita,110,5.1,2026-03-12 17:03,2026-03-12 17:03
elmundo_internacional,96,4.4,2026-03-12 17:03,2026-03-12 17:03
elpais_internacional,77,3.6,2026-03-12 17:03,2026-03-12 17:03
newtral,63,2.9,2026-03-12 17:03,2026-03-12 17:03
20minutos,2168,100.0,2026-03-12 17:33,2026-03-12 17:33
heraldo_aragon,1882,86.8,2026-03-12 17:33,2026-03-12 17:33
google_news_es,1833,84.5,2026-03-12 17:33,2026-03-12 17:33
okdiario,1824,84.1,2026-03-12 17:33,2026-03-12 17:33
levante_emv,1821,84.0,2026-03-12 17:33,2026-03-12 17:33
lavanguardia,1638,75.6,2026-03-12 17:33,2026-03-12 17:33
elcorreo,1487,68.6,2026-03-12 17:33,2026-03-12 17:33
elpais,1213,56.0,2026-03-12 17:33,2026-03-12 17:33
eldiario,773,35.7,2026-03-12 17:33,2026-03-12 17:33
huffington_es,582,26.8,2026-03-12 17:33,2026-03-12 17:33
expansion,476,22.0,2026-03-12 17:33,2026-03-12 17:33
elespanol,444,20.5,2026-03-12 17:33,2026-03-12 17:33
elmundo,436,20.1,2026-03-12 17:33,2026-03-12 17:33
google_news_politica,385,17.8,2026-03-12 17:33,2026-03-12 17:33
france24_es,362,16.7,2026-03-12 17:33,2026-03-12 17:33
infolibre,254,11.7,2026-03-12 17:33,2026-03-12 17:33
europapress,249,11.5,2026-03-12 17:33,2026-03-12 17:33
elconfidencial,145,6.7,2026-03-12 17:33,2026-03-12 17:33
elmundo_espana,129,6.0,2026-03-12 17:33,2026-03-12 17:33
bbc_mundo,125,5.8,2026-03-12 17:33,2026-03-12 17:33
maldita,111,5.1,2026-03-12 17:33,2026-03-12 17:33
elmundo_internacional,96,4.4,2026-03-12 17:33,2026-03-12 17:33
elpais_internacional,77,3.6,2026-03-12 17:33,2026-03-12 17:33
newtral,64,3.0,2026-03-12 17:33,2026-03-12 17:33
20minutos,2178,100.0,2026-03-12 18:03,2026-03-12 18:03
heraldo_aragon,1893,86.9,2026-03-12 18:03,2026-03-12 18:03
google_news_es,1838,84.4,2026-03-12 18:03,2026-03-12 18:03
levante_emv,1834,84.2,2026-03-12 18:03,2026-03-12 18:03
okdiario,1828,83.9,2026-03-12 18:03,2026-03-12 18:03
lavanguardia,1641,75.3,2026-03-12 18:03,2026-03-12 18:03
elcorreo,1488,68.3,2026-03-12 18:03,2026-03-12 18:03
elpais,1222,56.1,2026-03-12 18:03,2026-03-12 18:03
eldiario,777,35.7,2026-03-12 18:03,2026-03-12 18:03
huffington_es,586,26.9,2026-03-12 18:03,2026-03-12 18:03
expansion,478,21.9,2026-03-12 18:03,2026-03-12 18:03
elespanol,445,20.4,2026-03-12 18:03,2026-03-12 18:03
elmundo,437,20.1,2026-03-12 18:03,2026-03-12 18:03
google_news_politica,385,17.7,2026-03-12 18:03,2026-03-12 18:03
france24_es,363,16.7,2026-03-12 18:03,2026-03-12 18:03
infolibre,254,11.7,2026-03-12 18:03,2026-03-12 18:03
europapress,249,11.4,2026-03-12 18:03,2026-03-12 18:03
elconfidencial,145,6.7,2026-03-12 18:03,2026-03-12 18:03
elmundo_espana,129,5.9,2026-03-12 18:03,2026-03-12 18:03
bbc_mundo,125,5.7,2026-03-12 18:03,2026-03-12 18:03
maldita,112,5.1,2026-03-12 18:03,2026-03-12 18:03
elmundo_internacional,96,4.4,2026-03-12 18:03,2026-03-12 18:03
elpais_internacional,77,3.5,2026-03-12 18:03,2026-03-12 18:03
newtral,66,3.0,2026-03-12 18:03,2026-03-12 18:03
20minutos,2187,100.0,2026-03-12 18:33,2026-03-12 18:33
heraldo_aragon,1909,87.3,2026-03-12 18:33,2026-03-12 18:33
levante_emv,1851,84.6,2026-03-12 18:33,2026-03-12 18:33
google_news_es,1846,84.4,2026-03-12 18:33,2026-03-12 18:33
okdiario,1836,84.0,2026-03-12 18:33,2026-03-12 18:33
lavanguardia,1646,75.3,2026-03-12 18:33,2026-03-12 18:33
elcorreo,1494,68.3,2026-03-12 18:33,2026-03-12 18:33
elpais,1224,56.0,2026-03-12 18:33,2026-03-12 18:33
eldiario,778,35.6,2026-03-12 18:33,2026-03-12 18:33
huffington_es,591,27.0,2026-03-12 18:33,2026-03-12 18:33
expansion,482,22.0,2026-03-12 18:33,2026-03-12 18:33
elespanol,445,20.3,2026-03-12 18:33,2026-03-12 18:33
elmundo,438,20.0,2026-03-12 18:33,2026-03-12 18:33
google_news_politica,386,17.6,2026-03-12 18:33,2026-03-12 18:33
france24_es,367,16.8,2026-03-12 18:33,2026-03-12 18:33
