block,total,pro,anti,neutral,avg_score,dominant,pro_pct,anti_pct,last_update,cycle
Inmigración,141,25,21,95,0.028,pro,17.7,14.9,2026-03-16 17:06,2026-03-16 17:06
MERCOSUR,137,29,0,108,0.212,pro,21.2,0.0,2026-03-16 17:06,2026-03-16 17:06
UE,16808,1433,2,15373,0.085,pro,8.5,0.0,2026-03-16 17:36,2026-03-16 17:36
EEUU,6653,0,4882,1771,-0.734,anti,0.0,73.4,2026-03-16 17:36,2026-03-16 17:36
OTAN,351,339,8,4,0.943,pro,96.6,2.3,2026-03-16 17:36,2026-03-16 17:36
China,335,7,0,328,0.021,pro,2.1,0.0,2026-03-16 17:36,2026-03-16 17:36
Rusia,217,7,9,201,-0.009,anti,3.2,4.1,2026-03-16 17:36,2026-03-16 17:36
Inmigración,141,25,21,95,0.028,pro,17.7,14.9,2026-03-16 17:36,2026-03-16 17:36
MERCOSUR,137,29,0,108,0.212,pro,21.2,0.0,2026-03-16 17:36,2026-03-16 17:36
UE,16864,1436,2,15426,0.085,pro,8.5,0.0,2026-03-16 18:06,2026-03-16 18:06
EEUU,6678,0,4896,1782,-0.733,anti,0.0,73.3,2026-03-16 18:06,2026-03-16 18:06
OTAN,359,347,8,4,0.944,pro,96.7,2.2,2026-03-16 18:06,2026-03-16 18:06
China,335,7,0,328,0.021,pro,2.1,0.0,2026-03-16 18:06,2026-03-16 18:06
Rusia,217,7,9,201,-0.009,anti,3.2,4.1,2026-03-16 18:06,2026-03-16 18:06
Inmigración,141,25,21,95,0.028,pro,17.7,14.9,2026-03-16 18:06,2026-03-16 18:06
MERCOSUR,138,29,0,109,0.21,pro,21.0,0.0,2026-03-16 18:06,2026-03-16 18:06
UE,16923,1445,2,15476,0.085,pro,8.5,0.0,2026-03-16 18:36,2026-03-16 18:36
EEUU,6701,0,4911,1790,-0.733,anti,0.0,73.3,2026-03-16 18:36,2026-03-16 18:36
OTAN,362,350,8,4,0.945,pro,96.7,2.2,2026-03-16 18:36,2026-03-16 18:36
China,337,8,0,329,0.024,pro,2.4,0.0,2026-03-16 18:36,2026-03-16 18:36
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 18:36,2026-03-16 18:36
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 18:36,2026-03-16 18:36
MERCOSUR,138,29,0,109,0.21,pro,21.0,0.0,2026-03-16 18:36,2026-03-16 18:36
UE,16973,1455,2,15516,0.086,pro,8.6,0.0,2026-03-16 19:06,2026-03-16 19:06
EEUU,6718,0,4921,1797,-0.733,anti,0.0,73.3,2026-03-16 19:06,2026-03-16 19:06
OTAN,365,353,8,4,0.945,pro,96.7,2.2,2026-03-16 19:06,2026-03-16 19:06
China,337,8,0,329,0.024,pro,2.4,0.0,2026-03-16 19:06,2026-03-16 19:06
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 19:06,2026-03-16 19:06
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 19:06,2026-03-16 19:06
MERCOSUR,138,29,0,109,0.21,pro,21.0,0.0,2026-03-16 19:06,2026-03-16 19:06
UE,17036,1464,2,15570,0.086,pro,8.6,0.0,2026-03-16 19:40,2026-03-16 19:40
EEUU,6743,0,4940,1803,-0.733,anti,0.0,73.3,2026-03-16 19:40,2026-03-16 19:40
OTAN,366,354,8,4,0.945,pro,96.7,2.2,2026-03-16 19:40,2026-03-16 19:40
China,337,8,0,329,0.024,pro,2.4,0.0,2026-03-16 19:40,2026-03-16 19:40
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 19:40,2026-03-16 19:40
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 19:40,2026-03-16 19:40
MERCOSUR,138,29,0,109,0.21,pro,21.0,0.0,2026-03-16 19:40,2026-03-16 19:40
UE,17080,1469,2,15609,0.086,pro,8.6,0.0,2026-03-16 20:06,2026-03-16 20:06
EEUU,6763,0,4951,1812,-0.732,anti,0.0,73.2,2026-03-16 20:06,2026-03-16 20:06
OTAN,367,355,8,4,0.946,pro,96.7,2.2,2026-03-16 20:06,2026-03-16 20:06
China,338,8,0,330,0.024,pro,2.4,0.0,2026-03-16 20:06,2026-03-16 20:06
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 20:06,2026-03-16 20:06
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 20:06,2026-03-16 20:06
MERCOSUR,138,29,0,109,0.21,pro,21.0,0.0,2026-03-16 20:06,2026-03-16 20:06
UE,17128,1472,2,15654,0.086,pro,8.6,0.0,2026-03-16 20:36,2026-03-16 20:36
EEUU,6784,0,4969,1815,-0.732,anti,0.0,73.2,2026-03-16 20:36,2026-03-16 20:36
OTAN,368,356,8,4,0.946,pro,96.7,2.2,2026-03-16 20:36,2026-03-16 20:36
China,341,8,0,333,0.023,pro,2.3,0.0,2026-03-16 20:36,2026-03-16 20:36
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 20:36,2026-03-16 20:36
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 20:36,2026-03-16 20:36
MERCOSUR,139,29,0,110,0.209,pro,20.9,0.0,2026-03-16 20:36,2026-03-16 20:36
UE,17167,1475,2,15690,0.086,pro,8.6,0.0,2026-03-16 21:06,2026-03-16 21:06
EEUU,6798,0,4981,1817,-0.733,anti,0.0,73.3,2026-03-16 21:06,2026-03-16 21:06
OTAN,368,356,8,4,0.946,pro,96.7,2.2,2026-03-16 21:06,2026-03-16 21:06
China,341,8,0,333,0.023,pro,2.3,0.0,2026-03-16 21:06,2026-03-16 21:06
Rusia,218,7,9,202,-0.009,anti,3.2,4.1,2026-03-16 21:06,2026-03-16 21:06
Inmigración,142,25,21,96,0.028,pro,17.6,14.8,2026-03-16 21:06,2026-03-16 21:06
MERCOSUR,139,29,0,110,0.209,pro,20.9,0.0,2026-03-16 21:06,2026-03-16 21:06
UE,17211,1479,2,15730,0.086,pro,8.6,0.0,2026-03-16 21:36,2026-03-16 21:36
EEUU,6811,0,4992,1819,-0.733,anti,0.0,73.3,2026-03-16 21:36,2026-03-16 21:36
OTAN,368,356,8,4,0.946,pro,96.7,2.2,2026-03-16 21:36,2026-03-16 21:36
China,342,8,0,334,0.023,pro,2.3,0.0,2026-03-16 21:36,2026-03-16 21:36
Rusia,219,7,9,203,-0.009,anti,3.2,4.1,2026-03-16 21:36,2026-03-16 21:36
Inmigración,143,25,22,96,0.021,pro,17.5,15.4,2026-03-16 21:36,2026-03-16 21:36
MERCOSUR,140,29,0,111,0.207,pro,20.7,0.0,2026-03-16 21:36,2026-03-16 21:36
UE,17238,1480,2,15756,0.086,pro,8.6,0.0,2026-03-16 22:06,2026-03-16 22:06
EEUU,6822,0,5002,1820,-0.733,anti,0.0,73.3,2026-03-16 22:06,2026-03-16 22:06
OTAN,370,358,8,4,0.946,pro,96.8,2.2,2026-03-16 22:06,2026-03-16 22:06
China,342,8,0,334,0.023,pro,2.3,0.0,2026-03-16 22:06,2026-03-16 22:06
Rusia,220,7,9,204,-0.009,anti,3.2,4.1,2026-03-16 22:06,2026-03-16 22:06
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-16 22:06,2026-03-16 22:06
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-16 22:06,2026-03-16 22:06
UE,17256,1481,2,15773,0.086,pro,8.6,0.0,2026-03-16 22:36,2026-03-16 22:36
EEUU,6833,0,5010,1823,-0.733,anti,0.0,73.3,2026-03-16 22:36,2026-03-16 22:36
OTAN,371,359,8,4,0.946,pro,96.8,2.2,2026-03-16 22:36,2026-03-16 22:36
China,343,8,0,335,0.023,pro,2.3,0.0,2026-03-16 22:36,2026-03-16 22:36
Rusia,222,7,9,206,-0.009,anti,3.2,4.1,2026-03-16 22:36,2026-03-16 22:36
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-16 22:36,2026-03-16 22:36
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-16 22:36,2026-03-16 22:36
UE,17280,1484,2,15794,0.086,pro,8.6,0.0,2026-03-16 23:06,2026-03-16 23:06
EEUU,6840,0,5014,1826,-0.733,anti,0.0,73.3,2026-03-16 23:06,2026-03-16 23:06
OTAN,372,360,8,4,0.946,pro,96.8,2.2,2026-03-16 23:06,2026-03-16 23:06
China,343,8,0,335,0.023,pro,2.3,0.0,2026-03-16 23:06,2026-03-16 23:06
Rusia,222,7,9,206,-0.009,anti,3.2,4.1,2026-03-16 23:06,2026-03-16 23:06
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-16 23:06,2026-03-16 23:06
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-16 23:06,2026-03-16 23:06
UE,17303,1487,2,15814,0.086,pro,8.6,0.0,2026-03-16 23:36,2026-03-16 23:36
EEUU,6852,0,5018,1834,-0.732,anti,0.0,73.2,2026-03-16 23:36,2026-03-16 23:36
OTAN,372,360,8,4,0.946,pro,96.8,2.2,2026-03-16 23:36,2026-03-16 23:36
China,343,8,0,335,0.023,pro,2.3,0.0,2026-03-16 23:36,2026-03-16 23:36
Rusia,222,7,9,206,-0.009,anti,3.2,4.1,2026-03-16 23:36,2026-03-16 23:36
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-16 23:36,2026-03-16 23:36
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-16 23:36,2026-03-16 23:36
UE,17320,1492,2,15826,0.086,pro,8.6,0.0,2026-03-17 00:06,2026-03-17 00:06
EEUU,6861,0,5025,1836,-0.732,anti,0.0,73.2,2026-03-17 00:06,2026-03-17 00:06
OTAN,373,361,8,4,0.946,pro,96.8,2.1,2026-03-17 00:06,2026-03-17 00:06
China,343,8,0,335,0.023,pro,2.3,0.0,2026-03-17 00:06,2026-03-17 00:06
Rusia,222,7,9,206,-0.009,anti,3.2,4.1,2026-03-17 00:06,2026-03-17 00:06
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-17 00:06,2026-03-17 00:06
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 00:06,2026-03-17 00:06
UE,17340,1494,2,15844,0.086,pro,8.6,0.0,2026-03-17 00:36,2026-03-17 00:36
EEUU,6877,0,5035,1842,-0.732,anti,0.0,73.2,2026-03-17 00:36,2026-03-17 00:36
OTAN,375,363,8,4,0.947,pro,96.8,2.1,2026-03-17 00:36,2026-03-17 00:36
China,343,8,0,335,0.023,pro,2.3,0.0,2026-03-17 00:36,2026-03-17 00:36
Rusia,223,7,9,207,-0.009,anti,3.1,4.0,2026-03-17 00:36,2026-03-17 00:36
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-17 00:36,2026-03-17 00:36
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 00:36,2026-03-17 00:36
UE,17367,1493,2,15872,0.086,pro,8.6,0.0,2026-03-17 01:06,2026-03-17 01:06
EEUU,6882,0,5039,1843,-0.732,anti,0.0,73.2,2026-03-17 01:06,2026-03-17 01:06
OTAN,375,363,8,4,0.947,pro,96.8,2.1,2026-03-17 01:06,2026-03-17 01:06
China,345,8,0,337,0.023,pro,2.3,0.0,2026-03-17 01:06,2026-03-17 01:06
Rusia,224,7,9,208,-0.009,anti,3.1,4.0,2026-03-17 01:06,2026-03-17 01:06
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-17 01:06,2026-03-17 01:06
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 01:06,2026-03-17 01:06
UE,17395,1497,2,15896,0.086,pro,8.6,0.0,2026-03-17 01:36,2026-03-17 01:36
EEUU,6891,0,5046,1845,-0.732,anti,0.0,73.2,2026-03-17 01:36,2026-03-17 01:36
OTAN,376,364,8,4,0.947,pro,96.8,2.1,2026-03-17 01:36,2026-03-17 01:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 01:36,2026-03-17 01:36
Rusia,224,7,9,208,-0.009,anti,3.1,4.0,2026-03-17 01:36,2026-03-17 01:36
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-17 01:36,2026-03-17 01:36
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 01:36,2026-03-17 01:36
UE,17412,1498,2,15912,0.086,pro,8.6,0.0,2026-03-17 02:06,2026-03-17 02:06
EEUU,6899,0,5050,1849,-0.732,anti,0.0,73.2,2026-03-17 02:06,2026-03-17 02:06
OTAN,376,364,8,4,0.947,pro,96.8,2.1,2026-03-17 02:06,2026-03-17 02:06
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 02:06,2026-03-17 02:06
Rusia,224,7,9,208,-0.009,anti,3.1,4.0,2026-03-17 02:06,2026-03-17 02:06
Inmigración,144,25,22,97,0.021,pro,17.4,15.3,2026-03-17 02:06,2026-03-17 02:06
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 02:06,2026-03-17 02:06
UE,17481,1500,2,15979,0.086,pro,8.6,0.0,2026-03-17 02:36,2026-03-17 02:36
EEUU,6917,0,5065,1852,-0.732,anti,0.0,73.2,2026-03-17 02:36,2026-03-17 02:36
OTAN,376,364,8,4,0.947,pro,96.8,2.1,2026-03-17 02:36,2026-03-17 02:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 02:36,2026-03-17 02:36
Rusia,224,7,9,208,-0.009,anti,3.1,4.0,2026-03-17 02:36,2026-03-17 02:36
Inmigración,145,25,22,98,0.021,pro,17.2,15.2,2026-03-17 02:36,2026-03-17 02:36
MERCOSUR,141,29,0,112,0.206,pro,20.6,0.0,2026-03-17 02:36,2026-03-17 02:36
UE,17517,1504,2,16011,0.086,pro,8.6,0.0,2026-03-17 03:06,2026-03-17 03:06
EEUU,6934,0,5079,1855,-0.732,anti,0.0,73.2,2026-03-17 03:06,2026-03-17 03:06
OTAN,377,365,8,4,0.947,pro,96.8,2.1,2026-03-17 03:06,2026-03-17 03:06
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 03:06,2026-03-17 03:06
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 03:06,2026-03-17 03:06
Inmigración,145,25,22,98,0.021,pro,17.2,15.2,2026-03-17 03:06,2026-03-17 03:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 03:06,2026-03-17 03:06
UE,17527,1504,2,16021,0.086,pro,8.6,0.0,2026-03-17 03:36,2026-03-17 03:36
EEUU,6937,0,5082,1855,-0.733,anti,0.0,73.3,2026-03-17 03:36,2026-03-17 03:36
OTAN,377,365,8,4,0.947,pro,96.8,2.1,2026-03-17 03:36,2026-03-17 03:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 03:36,2026-03-17 03:36
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 03:36,2026-03-17 03:36
Inmigración,145,25,22,98,0.021,pro,17.2,15.2,2026-03-17 03:36,2026-03-17 03:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 03:36,2026-03-17 03:36
UE,17545,1505,2,16038,0.086,pro,8.6,0.0,2026-03-17 04:06,2026-03-17 04:06
EEUU,6950,0,5090,1860,-0.732,anti,0.0,73.2,2026-03-17 04:06,2026-03-17 04:06
OTAN,378,366,8,4,0.947,pro,96.8,2.1,2026-03-17 04:06,2026-03-17 04:06
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 04:06,2026-03-17 04:06
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 04:06,2026-03-17 04:06
Inmigración,145,25,22,98,0.021,pro,17.2,15.2,2026-03-17 04:06,2026-03-17 04:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 04:06,2026-03-17 04:06
UE,17556,1506,2,16048,0.086,pro,8.6,0.0,2026-03-17 04:36,2026-03-17 04:36
EEUU,6956,0,5093,1863,-0.732,anti,0.0,73.2,2026-03-17 04:36,2026-03-17 04:36
OTAN,378,366,8,4,0.947,pro,96.8,2.1,2026-03-17 04:36,2026-03-17 04:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 04:36,2026-03-17 04:36
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 04:36,2026-03-17 04:36
Inmigración,145,25,22,98,0.021,pro,17.2,15.2,2026-03-17 04:36,2026-03-17 04:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 04:36,2026-03-17 04:36
UE,17570,1508,2,16060,0.086,pro,8.6,0.0,2026-03-17 05:06,2026-03-17 05:06
EEUU,6960,0,5096,1864,-0.732,anti,0.0,73.2,2026-03-17 05:06,2026-03-17 05:06
OTAN,378,366,8,4,0.947,pro,96.8,2.1,2026-03-17 05:06,2026-03-17 05:06
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 05:06,2026-03-17 05:06
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 05:06,2026-03-17 05:06
Inmigración,146,25,23,98,0.014,pro,17.1,15.8,2026-03-17 05:06,2026-03-17 05:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 05:06,2026-03-17 05:06
UE,17579,1508,2,16069,0.086,pro,8.6,0.0,2026-03-17 05:36,2026-03-17 05:36
EEUU,6962,0,5098,1864,-0.732,anti,0.0,73.2,2026-03-17 05:36,2026-03-17 05:36
OTAN,378,366,8,4,0.947,pro,96.8,2.1,2026-03-17 05:36,2026-03-17 05:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 05:36,2026-03-17 05:36
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 05:36,2026-03-17 05:36
Inmigración,146,25,23,98,0.014,pro,17.1,15.8,2026-03-17 05:36,2026-03-17 05:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 05:36,2026-03-17 05:36
UE,17612,1511,2,16099,0.086,pro,8.6,0.0,2026-03-17 06:06,2026-03-17 06:06
EEUU,6974,0,5106,1868,-0.732,anti,0.0,73.2,2026-03-17 06:06,2026-03-17 06:06
OTAN,378,366,8,4,0.947,pro,96.8,2.1,2026-03-17 06:06,2026-03-17 06:06
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 06:06,2026-03-17 06:06
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 06:06,2026-03-17 06:06
Inmigración,146,25,23,98,0.014,pro,17.1,15.8,2026-03-17 06:06,2026-03-17 06:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 06:06,2026-03-17 06:06
UE,17690,1521,2,16167,0.086,pro,8.6,0.0,2026-03-17 06:36,2026-03-17 06:36
EEUU,7006,0,5133,1873,-0.733,anti,0.0,73.3,2026-03-17 06:36,2026-03-17 06:36
OTAN,382,370,8,4,0.948,pro,96.9,2.1,2026-03-17 06:36,2026-03-17 06:36
China,347,8,0,339,0.023,pro,2.3,0.0,2026-03-17 06:36,2026-03-17 06:36
Rusia,225,7,9,209,-0.009,anti,3.1,4.0,2026-03-17 06:36,2026-03-17 06:36
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 06:36,2026-03-17 06:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 06:36,2026-03-17 06:36
UE,17725,1530,2,16193,0.086,pro,8.6,0.0,2026-03-17 07:06,2026-03-17 07:06
EEUU,7020,0,5145,1875,-0.733,anti,0.0,73.3,2026-03-17 07:06,2026-03-17 07:06
OTAN,384,372,8,4,0.948,pro,96.9,2.1,2026-03-17 07:06,2026-03-17 07:06
China,348,8,0,340,0.023,pro,2.3,0.0,2026-03-17 07:06,2026-03-17 07:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 07:06,2026-03-17 07:06
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 07:06,2026-03-17 07:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 07:06,2026-03-17 07:06
UE,17782,1537,2,16243,0.086,pro,8.6,0.0,2026-03-17 07:36,2026-03-17 07:36
EEUU,7039,0,5158,1881,-0.733,anti,0.0,73.3,2026-03-17 07:36,2026-03-17 07:36
OTAN,384,372,8,4,0.948,pro,96.9,2.1,2026-03-17 07:36,2026-03-17 07:36
China,348,8,0,340,0.023,pro,2.3,0.0,2026-03-17 07:36,2026-03-17 07:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 07:36,2026-03-17 07:36
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 07:36,2026-03-17 07:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 07:36,2026-03-17 07:36
UE,17829,1543,2,16284,0.086,pro,8.7,0.0,2026-03-17 08:06,2026-03-17 08:06
EEUU,7061,0,5176,1885,-0.733,anti,0.0,73.3,2026-03-17 08:06,2026-03-17 08:06
OTAN,385,373,8,4,0.948,pro,96.9,2.1,2026-03-17 08:06,2026-03-17 08:06
China,348,8,0,340,0.023,pro,2.3,0.0,2026-03-17 08:06,2026-03-17 08:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 08:06,2026-03-17 08:06
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 08:06,2026-03-17 08:06
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 08:06,2026-03-17 08:06
UE,17892,1550,2,16340,0.087,pro,8.7,0.0,2026-03-17 08:36,2026-03-17 08:36
EEUU,7083,0,5193,1890,-0.733,anti,0.0,73.3,2026-03-17 08:36,2026-03-17 08:36
OTAN,387,375,8,4,0.948,pro,96.9,2.1,2026-03-17 08:36,2026-03-17 08:36
China,349,8,0,341,0.023,pro,2.3,0.0,2026-03-17 08:36,2026-03-17 08:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 08:36,2026-03-17 08:36
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 08:36,2026-03-17 08:36
MERCOSUR,142,29,0,113,0.204,pro,20.4,0.0,2026-03-17 08:36,2026-03-17 08:36
UE,17940,1556,2,16382,0.087,pro,8.7,0.0,2026-03-17 09:06,2026-03-17 09:06
EEUU,7102,0,5207,1895,-0.733,anti,0.0,73.3,2026-03-17 09:06,2026-03-17 09:06
OTAN,388,376,8,4,0.948,pro,96.9,2.1,2026-03-17 09:06,2026-03-17 09:06
China,350,8,0,342,0.023,pro,2.3,0.0,2026-03-17 09:06,2026-03-17 09:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 09:06,2026-03-17 09:06
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 09:06,2026-03-17 09:06
MERCOSUR,143,29,0,114,0.203,pro,20.3,0.0,2026-03-17 09:06,2026-03-17 09:06
UE,17978,1561,2,16415,0.087,pro,8.7,0.0,2026-03-17 09:36,2026-03-17 09:36
EEUU,7116,0,5215,1901,-0.733,anti,0.0,73.3,2026-03-17 09:36,2026-03-17 09:36
OTAN,389,377,8,4,0.949,pro,96.9,2.1,2026-03-17 09:36,2026-03-17 09:36
China,350,8,0,342,0.023,pro,2.3,0.0,2026-03-17 09:36,2026-03-17 09:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 09:36,2026-03-17 09:36
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 09:36,2026-03-17 09:36
MERCOSUR,143,29,0,114,0.203,pro,20.3,0.0,2026-03-17 09:36,2026-03-17 09:36
UE,18027,1568,2,16457,0.087,pro,8.7,0.0,2026-03-17 10:06,2026-03-17 10:06
EEUU,7136,0,5231,1905,-0.733,anti,0.0,73.3,2026-03-17 10:06,2026-03-17 10:06
OTAN,389,377,8,4,0.949,pro,96.9,2.1,2026-03-17 10:06,2026-03-17 10:06
China,352,8,0,344,0.023,pro,2.3,0.0,2026-03-17 10:06,2026-03-17 10:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 10:06,2026-03-17 10:06
Inmigración,147,26,23,98,0.02,pro,17.7,15.6,2026-03-17 10:06,2026-03-17 10:06
MERCOSUR,144,29,0,115,0.201,pro,20.1,0.0,2026-03-17 10:06,2026-03-17 10:06
UE,18077,1578,2,16497,0.087,pro,8.7,0.0,2026-03-17 10:36,2026-03-17 10:36
EEUU,7151,0,5244,1907,-0.733,anti,0.0,73.3,2026-03-17 10:36,2026-03-17 10:36
OTAN,392,380,8,4,0.949,pro,96.9,2.0,2026-03-17 10:36,2026-03-17 10:36
China,352,8,0,344,0.023,pro,2.3,0.0,2026-03-17 10:36,2026-03-17 10:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 10:36,2026-03-17 10:36
Inmigración,148,26,23,99,0.02,pro,17.6,15.5,2026-03-17 10:36,2026-03-17 10:36
MERCOSUR,144,29,0,115,0.201,pro,20.1,0.0,2026-03-17 10:36,2026-03-17 10:36
UE,18148,1587,2,16559,0.087,pro,8.7,0.0,2026-03-17 11:06,2026-03-17 11:06
EEUU,7179,0,5270,1909,-0.734,anti,0.0,73.4,2026-03-17 11:06,2026-03-17 11:06
OTAN,393,381,8,4,0.949,pro,96.9,2.0,2026-03-17 11:06,2026-03-17 11:06
China,353,8,0,345,0.023,pro,2.3,0.0,2026-03-17 11:06,2026-03-17 11:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 11:06,2026-03-17 11:06
Inmigración,148,26,23,99,0.02,pro,17.6,15.5,2026-03-17 11:06,2026-03-17 11:06
MERCOSUR,145,29,0,116,0.2,pro,20.0,0.0,2026-03-17 11:06,2026-03-17 11:06
UE,18215,1596,2,16617,0.088,pro,8.8,0.0,2026-03-17 11:36,2026-03-17 11:36
EEUU,7204,0,5293,1911,-0.735,anti,0.0,73.5,2026-03-17 11:36,2026-03-17 11:36
OTAN,395,383,8,4,0.949,pro,97.0,2.0,2026-03-17 11:36,2026-03-17 11:36
China,354,8,0,346,0.023,pro,2.3,0.0,2026-03-17 11:36,2026-03-17 11:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 11:36,2026-03-17 11:36
Inmigración,149,26,23,100,0.02,pro,17.4,15.4,2026-03-17 11:36,2026-03-17 11:36
MERCOSUR,145,29,0,116,0.2,pro,20.0,0.0,2026-03-17 11:36,2026-03-17 11:36
UE,18280,1603,2,16675,0.088,pro,8.8,0.0,2026-03-17 12:06,2026-03-17 12:06
EEUU,7224,0,5309,1915,-0.735,anti,0.0,73.5,2026-03-17 12:06,2026-03-17 12:06
OTAN,395,383,8,4,0.949,pro,97.0,2.0,2026-03-17 12:06,2026-03-17 12:06
China,354,8,0,346,0.023,pro,2.3,0.0,2026-03-17 12:06,2026-03-17 12:06
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 12:06,2026-03-17 12:06
Inmigración,149,26,23,100,0.02,pro,17.4,15.4,2026-03-17 12:06,2026-03-17 12:06
MERCOSUR,145,29,0,116,0.2,pro,20.0,0.0,2026-03-17 12:06,2026-03-17 12:06
UE,18356,1611,2,16743,0.088,pro,8.8,0.0,2026-03-17 12:36,2026-03-17 12:36
EEUU,7252,0,5334,1918,-0.736,anti,0.0,73.6,2026-03-17 12:36,2026-03-17 12:36
OTAN,396,384,8,4,0.949,pro,97.0,2.0,2026-03-17 12:36,2026-03-17 12:36
China,355,8,0,347,0.023,pro,2.3,0.0,2026-03-17 12:36,2026-03-17 12:36
Rusia,227,7,9,211,-0.009,anti,3.1,4.0,2026-03-17 12:36,2026-03-17 12:36
