source,count,alignment,alignment_score,last_update,cycle
20minutos,8818,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_es,8752,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
okdiario,8033,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
levante_emv,7935,Contra-Gobierno,-0.1,2026-04-07 22:08:00+00:00,2026-04-07 22:08
heraldo_aragon,7530,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elcorreo,6624,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_internacional,5685,Contra-Gobierno,-0.02,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais,4880,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
eldiario,3001,Contra-Gobierno,-0.13,2026-04-07 22:08:00+00:00,2026-04-07 22:08
huffington_es,2709,Contra-Gobierno,-0.07,2026-04-07 22:08:00+00:00,2026-04-07 22:08
sur,2602,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_economia,2422,Pro-Gobierno,0.05,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elespanol,2002,Contra-Gobierno,-0.12,2026-04-07 22:08:00+00:00,2026-04-07 22:08
expansion,1926,Pro-Gobierno,0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo,1904,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
google_news_politica,1721,Pro-Gobierno,0.24,2026-04-07 22:08:00+00:00,2026-04-07 22:08
france24_es,1523,Contra-Gobierno,-0.03,2026-04-07 22:08:00+00:00,2026-04-07 22:08
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 22:08:00+00:00,2026-04-07 22:08
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elconfidencial,580,Contra-Gobierno,-0.12,2026-04-07 22:08:00+00:00,2026-04-07 22:08
bbc_mundo,461,Neutral,0.0,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo_espana,446,Contra-Gobierno,-0.21,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elmundo_internacional,393,Contra-Gobierno,-0.04,2026-04-07 22:08:00+00:00,2026-04-07 22:08
maldita,336,Pro-Gobierno,0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 22:08:00+00:00,2026-04-07 22:08
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 22:08:00+00:00,2026-04-07 22:08
newtral,248,Contra-Gobierno,-0.09,2026-04-07 22:08:00+00:00,2026-04-07 22:08
efe,172,Contra-Gobierno,-0.06,2026-04-07 22:08:00+00:00,2026-04-07 22:08
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 22:08:00+00:00,2026-04-07 22:08
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 22:08:00+00:00,2026-04-07 22:08
efe_espana,9,Neutral,0.0,2026-04-07 22:08:00+00:00,2026-04-07 22:08
20minutos,8818,Contra-Gobierno,-0.08,2026-04-07 22:11:00+00:00,2026-04-07 22:11
google_news_es,8752,Contra-Gobierno,-0.07,2026-04-07 22:11:00+00:00,2026-04-07 22:11
okdiario,8033,Contra-Gobierno,-0.08,2026-04-07 22:11:00+00:00,2026-04-07 22:11
levante_emv,7935,Contra-Gobierno,-0.1,2026-04-07 22:11:00+00:00,2026-04-07 22:11
heraldo_aragon,7530,Contra-Gobierno,-0.07,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elcorreo,6624,Contra-Gobierno,-0.07,2026-04-07 22:11:00+00:00,2026-04-07 22:11
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 22:11:00+00:00,2026-04-07 22:11
google_news_internacional,5685,Contra-Gobierno,-0.02,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elpais,4880,Contra-Gobierno,-0.09,2026-04-07 22:11:00+00:00,2026-04-07 22:11
eldiario,3001,Contra-Gobierno,-0.13,2026-04-07 22:11:00+00:00,2026-04-07 22:11
huffington_es,2709,Contra-Gobierno,-0.07,2026-04-07 22:11:00+00:00,2026-04-07 22:11
sur,2602,Contra-Gobierno,-0.09,2026-04-07 22:11:00+00:00,2026-04-07 22:11
google_news_economia,2422,Pro-Gobierno,0.05,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elespanol,2002,Contra-Gobierno,-0.12,2026-04-07 22:11:00+00:00,2026-04-07 22:11
expansion,1926,Pro-Gobierno,0.06,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elmundo,1904,Contra-Gobierno,-0.09,2026-04-07 22:11:00+00:00,2026-04-07 22:11
google_news_politica,1721,Pro-Gobierno,0.24,2026-04-07 22:11:00+00:00,2026-04-07 22:11
france24_es,1523,Contra-Gobierno,-0.03,2026-04-07 22:11:00+00:00,2026-04-07 22:11
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 22:11:00+00:00,2026-04-07 22:11
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elconfidencial,580,Contra-Gobierno,-0.12,2026-04-07 22:11:00+00:00,2026-04-07 22:11
bbc_mundo,461,Neutral,0.0,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elmundo_espana,446,Contra-Gobierno,-0.21,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elmundo_internacional,393,Contra-Gobierno,-0.04,2026-04-07 22:11:00+00:00,2026-04-07 22:11
maldita,336,Pro-Gobierno,0.06,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 22:11:00+00:00,2026-04-07 22:11
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 22:11:00+00:00,2026-04-07 22:11
newtral,248,Contra-Gobierno,-0.09,2026-04-07 22:11:00+00:00,2026-04-07 22:11
efe,172,Contra-Gobierno,-0.06,2026-04-07 22:11:00+00:00,2026-04-07 22:11
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 22:11:00+00:00,2026-04-07 22:11
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 22:11:00+00:00,2026-04-07 22:11
efe_espana,9,Neutral,0.0,2026-04-07 22:11:00+00:00,2026-04-07 22:11
20minutos,8821,Contra-Gobierno,-0.08,2026-04-07 22:37:00+00:00,2026-04-07 22:37
google_news_es,8761,Contra-Gobierno,-0.07,2026-04-07 22:37:00+00:00,2026-04-07 22:37
okdiario,8035,Contra-Gobierno,-0.08,2026-04-07 22:37:00+00:00,2026-04-07 22:37
levante_emv,7937,Contra-Gobierno,-0.1,2026-04-07 22:37:00+00:00,2026-04-07 22:37
heraldo_aragon,7530,Contra-Gobierno,-0.07,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elcorreo,6653,Contra-Gobierno,-0.07,2026-04-07 22:37:00+00:00,2026-04-07 22:37
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 22:37:00+00:00,2026-04-07 22:37
google_news_internacional,5695,Contra-Gobierno,-0.02,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elpais,4880,Contra-Gobierno,-0.09,2026-04-07 22:37:00+00:00,2026-04-07 22:37
eldiario,3001,Contra-Gobierno,-0.13,2026-04-07 22:37:00+00:00,2026-04-07 22:37
huffington_es,2709,Contra-Gobierno,-0.07,2026-04-07 22:37:00+00:00,2026-04-07 22:37
sur,2605,Contra-Gobierno,-0.09,2026-04-07 22:37:00+00:00,2026-04-07 22:37
google_news_economia,2427,Pro-Gobierno,0.05,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elespanol,2002,Contra-Gobierno,-0.12,2026-04-07 22:37:00+00:00,2026-04-07 22:37
expansion,1926,Pro-Gobierno,0.06,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elmundo,1905,Contra-Gobierno,-0.09,2026-04-07 22:37:00+00:00,2026-04-07 22:37
google_news_politica,1725,Pro-Gobierno,0.24,2026-04-07 22:37:00+00:00,2026-04-07 22:37
france24_es,1528,Contra-Gobierno,-0.03,2026-04-07 22:37:00+00:00,2026-04-07 22:37
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 22:37:00+00:00,2026-04-07 22:37
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-07 22:37:00+00:00,2026-04-07 22:37
bbc_mundo,461,Neutral,0.0,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elmundo_internacional,398,Contra-Gobierno,-0.04,2026-04-07 22:37:00+00:00,2026-04-07 22:37
maldita,336,Pro-Gobierno,0.06,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 22:37:00+00:00,2026-04-07 22:37
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 22:37:00+00:00,2026-04-07 22:37
newtral,248,Contra-Gobierno,-0.09,2026-04-07 22:37:00+00:00,2026-04-07 22:37
efe,173,Contra-Gobierno,-0.05,2026-04-07 22:37:00+00:00,2026-04-07 22:37
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 22:37:00+00:00,2026-04-07 22:37
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 22:37:00+00:00,2026-04-07 22:37
efe_espana,9,Neutral,0.0,2026-04-07 22:37:00+00:00,2026-04-07 22:37
20minutos,8821,Contra-Gobierno,-0.08,2026-04-07 23:07:00+00:00,2026-04-07 23:07
google_news_es,8765,Contra-Gobierno,-0.07,2026-04-07 23:07:00+00:00,2026-04-07 23:07
okdiario,8037,Contra-Gobierno,-0.08,2026-04-07 23:07:00+00:00,2026-04-07 23:07
levante_emv,7937,Contra-Gobierno,-0.1,2026-04-07 23:07:00+00:00,2026-04-07 23:07
heraldo_aragon,7531,Contra-Gobierno,-0.07,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elcorreo,6658,Contra-Gobierno,-0.07,2026-04-07 23:07:00+00:00,2026-04-07 23:07
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 23:07:00+00:00,2026-04-07 23:07
google_news_internacional,5699,Contra-Gobierno,-0.02,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elpais,4882,Contra-Gobierno,-0.09,2026-04-07 23:07:00+00:00,2026-04-07 23:07
eldiario,3002,Contra-Gobierno,-0.13,2026-04-07 23:07:00+00:00,2026-04-07 23:07
huffington_es,2709,Contra-Gobierno,-0.07,2026-04-07 23:07:00+00:00,2026-04-07 23:07
sur,2614,Contra-Gobierno,-0.09,2026-04-07 23:07:00+00:00,2026-04-07 23:07
google_news_economia,2436,Pro-Gobierno,0.05,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elespanol,2003,Contra-Gobierno,-0.12,2026-04-07 23:07:00+00:00,2026-04-07 23:07
expansion,1927,Pro-Gobierno,0.06,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elmundo,1913,Contra-Gobierno,-0.09,2026-04-07 23:07:00+00:00,2026-04-07 23:07
google_news_politica,1728,Pro-Gobierno,0.24,2026-04-07 23:07:00+00:00,2026-04-07 23:07
france24_es,1529,Contra-Gobierno,-0.03,2026-04-07 23:07:00+00:00,2026-04-07 23:07
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 23:07:00+00:00,2026-04-07 23:07
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-07 23:07:00+00:00,2026-04-07 23:07
bbc_mundo,461,Neutral,0.0,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elmundo_internacional,398,Contra-Gobierno,-0.04,2026-04-07 23:07:00+00:00,2026-04-07 23:07
maldita,336,Pro-Gobierno,0.06,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 23:07:00+00:00,2026-04-07 23:07
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 23:07:00+00:00,2026-04-07 23:07
newtral,248,Contra-Gobierno,-0.09,2026-04-07 23:07:00+00:00,2026-04-07 23:07
efe,173,Contra-Gobierno,-0.05,2026-04-07 23:07:00+00:00,2026-04-07 23:07
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 23:07:00+00:00,2026-04-07 23:07
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 23:07:00+00:00,2026-04-07 23:07
efe_espana,9,Neutral,0.0,2026-04-07 23:07:00+00:00,2026-04-07 23:07
20minutos,8823,Contra-Gobierno,-0.08,2026-04-07 23:37:00+00:00,2026-04-07 23:37
google_news_es,8778,Contra-Gobierno,-0.07,2026-04-07 23:37:00+00:00,2026-04-07 23:37
okdiario,8037,Contra-Gobierno,-0.08,2026-04-07 23:37:00+00:00,2026-04-07 23:37
levante_emv,7938,Contra-Gobierno,-0.1,2026-04-07 23:37:00+00:00,2026-04-07 23:37
heraldo_aragon,7532,Contra-Gobierno,-0.07,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elcorreo,6668,Contra-Gobierno,-0.07,2026-04-07 23:37:00+00:00,2026-04-07 23:37
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-07 23:37:00+00:00,2026-04-07 23:37
google_news_internacional,5702,Contra-Gobierno,-0.02,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elpais,4885,Contra-Gobierno,-0.09,2026-04-07 23:37:00+00:00,2026-04-07 23:37
eldiario,3003,Contra-Gobierno,-0.13,2026-04-07 23:37:00+00:00,2026-04-07 23:37
huffington_es,2710,Contra-Gobierno,-0.07,2026-04-07 23:37:00+00:00,2026-04-07 23:37
sur,2614,Contra-Gobierno,-0.09,2026-04-07 23:37:00+00:00,2026-04-07 23:37
google_news_economia,2437,Pro-Gobierno,0.05,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elespanol,2003,Contra-Gobierno,-0.12,2026-04-07 23:37:00+00:00,2026-04-07 23:37
expansion,1927,Pro-Gobierno,0.06,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elmundo,1917,Contra-Gobierno,-0.09,2026-04-07 23:37:00+00:00,2026-04-07 23:37
google_news_politica,1728,Pro-Gobierno,0.24,2026-04-07 23:37:00+00:00,2026-04-07 23:37
france24_es,1531,Contra-Gobierno,-0.03,2026-04-07 23:37:00+00:00,2026-04-07 23:37
europapress,1022,Contra-Gobierno,-0.15,2026-04-07 23:37:00+00:00,2026-04-07 23:37
infolibre,973,Contra-Gobierno,-0.16,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-07 23:37:00+00:00,2026-04-07 23:37
bbc_mundo,461,Neutral,0.0,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elmundo_internacional,399,Contra-Gobierno,-0.04,2026-04-07 23:37:00+00:00,2026-04-07 23:37
maldita,336,Pro-Gobierno,0.06,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-07 23:37:00+00:00,2026-04-07 23:37
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-07 23:37:00+00:00,2026-04-07 23:37
newtral,248,Contra-Gobierno,-0.09,2026-04-07 23:37:00+00:00,2026-04-07 23:37
efe,173,Contra-Gobierno,-0.05,2026-04-07 23:37:00+00:00,2026-04-07 23:37
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-07 23:37:00+00:00,2026-04-07 23:37
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-07 23:37:00+00:00,2026-04-07 23:37
efe_espana,9,Neutral,0.0,2026-04-07 23:37:00+00:00,2026-04-07 23:37
20minutos,8824,Contra-Gobierno,-0.08,2026-04-08 00:07:00+00:00,2026-04-08 00:07
google_news_es,8783,Contra-Gobierno,-0.07,2026-04-08 00:07:00+00:00,2026-04-08 00:07
okdiario,8039,Contra-Gobierno,-0.08,2026-04-08 00:07:00+00:00,2026-04-08 00:07
levante_emv,7938,Contra-Gobierno,-0.1,2026-04-08 00:07:00+00:00,2026-04-08 00:07
heraldo_aragon,7533,Contra-Gobierno,-0.07,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elcorreo,6672,Contra-Gobierno,-0.07,2026-04-08 00:07:00+00:00,2026-04-08 00:07
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-08 00:07:00+00:00,2026-04-08 00:07
google_news_internacional,5707,Contra-Gobierno,-0.02,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elpais,4885,Contra-Gobierno,-0.09,2026-04-08 00:07:00+00:00,2026-04-08 00:07
eldiario,3003,Contra-Gobierno,-0.13,2026-04-08 00:07:00+00:00,2026-04-08 00:07
huffington_es,2711,Contra-Gobierno,-0.07,2026-04-08 00:07:00+00:00,2026-04-08 00:07
sur,2617,Contra-Gobierno,-0.09,2026-04-08 00:07:00+00:00,2026-04-08 00:07
google_news_economia,2437,Pro-Gobierno,0.05,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elespanol,2004,Contra-Gobierno,-0.12,2026-04-08 00:07:00+00:00,2026-04-08 00:07
expansion,1927,Pro-Gobierno,0.06,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elmundo,1923,Contra-Gobierno,-0.09,2026-04-08 00:07:00+00:00,2026-04-08 00:07
google_news_politica,1727,Pro-Gobierno,0.24,2026-04-08 00:07:00+00:00,2026-04-08 00:07
france24_es,1531,Contra-Gobierno,-0.03,2026-04-08 00:07:00+00:00,2026-04-08 00:07
europapress,1022,Contra-Gobierno,-0.15,2026-04-08 00:07:00+00:00,2026-04-08 00:07
infolibre,973,Contra-Gobierno,-0.16,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-08 00:07:00+00:00,2026-04-08 00:07
bbc_mundo,462,Neutral,0.0,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elmundo_internacional,399,Contra-Gobierno,-0.04,2026-04-08 00:07:00+00:00,2026-04-08 00:07
maldita,336,Pro-Gobierno,0.06,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-08 00:07:00+00:00,2026-04-08 00:07
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-08 00:07:00+00:00,2026-04-08 00:07
newtral,248,Contra-Gobierno,-0.09,2026-04-08 00:07:00+00:00,2026-04-08 00:07
efe,173,Contra-Gobierno,-0.05,2026-04-08 00:07:00+00:00,2026-04-08 00:07
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-08 00:07:00+00:00,2026-04-08 00:07
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-08 00:07:00+00:00,2026-04-08 00:07
efe_espana,9,Neutral,0.0,2026-04-08 00:07:00+00:00,2026-04-08 00:07
20minutos,8824,Contra-Gobierno,-0.08,2026-04-08 00:37:00+00:00,2026-04-08 00:37
google_news_es,8785,Contra-Gobierno,-0.07,2026-04-08 00:37:00+00:00,2026-04-08 00:37
okdiario,8039,Contra-Gobierno,-0.08,2026-04-08 00:37:00+00:00,2026-04-08 00:37
levante_emv,7938,Contra-Gobierno,-0.1,2026-04-08 00:37:00+00:00,2026-04-08 00:37
heraldo_aragon,7533,Contra-Gobierno,-0.07,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elcorreo,6672,Contra-Gobierno,-0.07,2026-04-08 00:37:00+00:00,2026-04-08 00:37
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-08 00:37:00+00:00,2026-04-08 00:37
google_news_internacional,5713,Contra-Gobierno,-0.02,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elpais,4885,Contra-Gobierno,-0.09,2026-04-08 00:37:00+00:00,2026-04-08 00:37
eldiario,3003,Contra-Gobierno,-0.13,2026-04-08 00:37:00+00:00,2026-04-08 00:37
huffington_es,2711,Contra-Gobierno,-0.07,2026-04-08 00:37:00+00:00,2026-04-08 00:37
sur,2617,Contra-Gobierno,-0.09,2026-04-08 00:37:00+00:00,2026-04-08 00:37
google_news_economia,2438,Pro-Gobierno,0.05,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elespanol,2004,Contra-Gobierno,-0.12,2026-04-08 00:37:00+00:00,2026-04-08 00:37
expansion,1928,Pro-Gobierno,0.06,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elmundo,1923,Contra-Gobierno,-0.09,2026-04-08 00:37:00+00:00,2026-04-08 00:37
google_news_politica,1729,Pro-Gobierno,0.24,2026-04-08 00:37:00+00:00,2026-04-08 00:37
france24_es,1531,Contra-Gobierno,-0.03,2026-04-08 00:37:00+00:00,2026-04-08 00:37
europapress,1022,Contra-Gobierno,-0.15,2026-04-08 00:37:00+00:00,2026-04-08 00:37
infolibre,973,Contra-Gobierno,-0.16,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-08 00:37:00+00:00,2026-04-08 00:37
bbc_mundo,463,Neutral,0.0,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elmundo_internacional,400,Contra-Gobierno,-0.04,2026-04-08 00:37:00+00:00,2026-04-08 00:37
maldita,336,Pro-Gobierno,0.06,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-08 00:37:00+00:00,2026-04-08 00:37
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-08 00:37:00+00:00,2026-04-08 00:37
newtral,248,Contra-Gobierno,-0.09,2026-04-08 00:37:00+00:00,2026-04-08 00:37
efe,173,Contra-Gobierno,-0.05,2026-04-08 00:37:00+00:00,2026-04-08 00:37
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-08 00:37:00+00:00,2026-04-08 00:37
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-08 00:37:00+00:00,2026-04-08 00:37
efe_espana,9,Neutral,0.0,2026-04-08 00:37:00+00:00,2026-04-08 00:37
20minutos,8824,Contra-Gobierno,-0.08,2026-04-08 01:07:00+00:00,2026-04-08 01:07
google_news_es,8789,Contra-Gobierno,-0.07,2026-04-08 01:07:00+00:00,2026-04-08 01:07
okdiario,8042,Contra-Gobierno,-0.08,2026-04-08 01:07:00+00:00,2026-04-08 01:07
levante_emv,7938,Contra-Gobierno,-0.1,2026-04-08 01:07:00+00:00,2026-04-08 01:07
heraldo_aragon,7533,Contra-Gobierno,-0.07,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elcorreo,6672,Contra-Gobierno,-0.07,2026-04-08 01:07:00+00:00,2026-04-08 01:07
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-08 01:07:00+00:00,2026-04-08 01:07
google_news_internacional,5716,Contra-Gobierno,-0.02,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elpais,4888,Contra-Gobierno,-0.09,2026-04-08 01:07:00+00:00,2026-04-08 01:07
eldiario,3003,Contra-Gobierno,-0.13,2026-04-08 01:07:00+00:00,2026-04-08 01:07
huffington_es,2711,Contra-Gobierno,-0.07,2026-04-08 01:07:00+00:00,2026-04-08 01:07
sur,2617,Contra-Gobierno,-0.09,2026-04-08 01:07:00+00:00,2026-04-08 01:07
google_news_economia,2438,Pro-Gobierno,0.05,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elespanol,2004,Contra-Gobierno,-0.12,2026-04-08 01:07:00+00:00,2026-04-08 01:07
expansion,1955,Pro-Gobierno,0.06,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elmundo,1923,Contra-Gobierno,-0.09,2026-04-08 01:07:00+00:00,2026-04-08 01:07
google_news_politica,1730,Pro-Gobierno,0.24,2026-04-08 01:07:00+00:00,2026-04-08 01:07
france24_es,1532,Contra-Gobierno,-0.03,2026-04-08 01:07:00+00:00,2026-04-08 01:07
europapress,1022,Contra-Gobierno,-0.15,2026-04-08 01:07:00+00:00,2026-04-08 01:07
infolibre,973,Contra-Gobierno,-0.16,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elconfidencial,581,Contra-Gobierno,-0.12,2026-04-08 01:07:00+00:00,2026-04-08 01:07
bbc_mundo,464,Neutral,0.0,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elmundo_espana,452,Contra-Gobierno,-0.21,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elmundo_internacional,400,Contra-Gobierno,-0.04,2026-04-08 01:07:00+00:00,2026-04-08 01:07
maldita,336,Pro-Gobierno,0.06,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elpais_internacional,280,Contra-Gobierno,-0.04,2026-04-08 01:07:00+00:00,2026-04-08 01:07
el_confidencial_tech,262,Contra-Gobierno,-0.01,2026-04-08 01:07:00+00:00,2026-04-08 01:07
newtral,248,Contra-Gobierno,-0.09,2026-04-08 01:07:00+00:00,2026-04-08 01:07
efe,173,Contra-Gobierno,-0.05,2026-04-08 01:07:00+00:00,2026-04-08 01:07
el_confidencial_economia,95,Contra-Gobierno,-0.01,2026-04-08 01:07:00+00:00,2026-04-08 01:07
elpais_espana,24,Contra-Gobierno,-0.33,2026-04-08 01:07:00+00:00,2026-04-08 01:07
efe_espana,9,Neutral,0.0,2026-04-08 01:07:00+00:00,2026-04-08 01:07
20minutos,8824,Contra-Gobierno,-0.08,2026-04-08 01:37:00+00:00,2026-04-08 01:37
google_news_es,8797,Contra-Gobierno,-0.07,2026-04-08 01:37:00+00:00,2026-04-08 01:37
okdiario,8043,Contra-Gobierno,-0.08,2026-04-08 01:37:00+00:00,2026-04-08 01:37
levante_emv,7939,Contra-Gobierno,-0.1,2026-04-08 01:37:00+00:00,2026-04-08 01:37
heraldo_aragon,7533,Contra-Gobierno,-0.07,2026-04-08 01:37:00+00:00,2026-04-08 01:37
elcorreo,6672,Contra-Gobierno,-0.07,2026-04-08 01:37:00+00:00,2026-04-08 01:37
lavanguardia,6278,Contra-Gobierno,-0.08,2026-04-08 01:37:00+00:00,2026-04-08 01:37
google_news_internacional,5718,Contra-Gobierno,-0.02,2026-04-08 01:37:00+00:00,2026-04-08 01:37
elpais,4888,Contra-Gobierno,-0.09,2026-04-08 01:37:00+00:00,2026-04-08 01:37
eldiario,3003,Contra-Gobierno,-0.13,2026-04-08 01:37:00+00:00,2026-04-08 01:37
huffington_es,2711,Contra-Gobierno,-0.07,2026-04-08 01:37:00+00:00,2026-04-08 01:37
sur,2617,Contra-Gobierno,-0.09,2026-04-08 01:37:00+00:00,2026-04-08 01:37
google_news_economia,2440,Pro-Gobierno,0.05,2026-04-08 01:37:00+00:00,2026-04-08 01:37
elespanol,2015,Contra-Gobierno,-0.12,2026-04-08 01:37:00+00:00,2026-04-08 01:37
expansion,1955,Pro-Gobierno,0.06,2026-04-08 01:37:00+00:00,2026-04-08 01:37
elmundo,1923,Contra-Gobierno,-0.09,2026-04-08 01:37:00+00:00,2026-04-08 01:37
