window,representative,sources,n_sources,n_titles,avg_similarity,coord_score,all_titles,detected_at,cycle
2026-03-10 16:00:00,España estudiará participar en el operativo naval en Ormuz si Macron concreta su propuesta - El Correo,"elcorreo, google_news_es, google_news_politica",3,3,0.955,71,España estudiará participar en el operativo naval en Ormuz si Macron concreta su propuesta - El Correo | España estudiará participar en el operativo naval en Ormuz si Macron concreta su propuesta | España estudiará participar en el operativo naval en Ormuz si Macron concreta su propuesta - El Diario Vasco,2026-03-11 19:32,2026-03-11 19:32
2026-03-11 12:00:00,"Detectado el primer caso de peste porcina en Barcelona, que obliga a cerrar el Parque de Collserola","20minutos, eldiario, lavanguardia",3,5,0.636,47,"El primer caso de peste porcina africana en la ciudad de Barcelona obliga a cerrar el parque natural de Collserola | Otro caso de peste porcina en Barcelona obliga a volver a cerrar el Parque de Collserola | Un nuevo caso de peste porcina en Barcelona obliga a volver a cerrar el Parque de Collserola | Detectado el primer caso de peste porcina en Barcelona, que obliga a cerrar el Parque de Collserola | Detectado el primer caso de peste porcina en Barcelona, que ha obligado a cerrar el Parque de Collserola",2026-03-11 19:32,2026-03-11 19:32
2026-03-08 20:00:00,"Bonoloto: comprobar el resultado del sorteo de hoy, domingo 8 de marzo de 2026","google_news_es, levante_emv, okdiario",3,4,0.475,35,"Bonoloto: comprobar el resultado del sorteo de hoy, domingo 8 de marzo de 2026 | Comprobar El Gordo de la Primitiva hoy: resultado y números premiados del sorteo hoy, domingo 8 de marzo de 2026 | Sorteo Bonoloto del domingo 8 de marzo de 2026 | Bonoloto: Comprueba el resultado del sorteo de hoy domingo 8 de marzo de 2026 - La Razón",2026-03-11 19:32,2026-03-11 19:32
2026-03-11 12:00:00,"La reina Letizia, Ana Rosa, Almeida... Compañeros y amigos despiden al periodista Raúl del Pozo en su capilla ardiente","20minutos, elmundo, levante_emv",3,3,0.541,40,"La reina Letizia, Ana Rosa, Almeida... Compañeros y amigos despiden al periodista Raúl del Pozo en su capilla ardiente | Compañeros y amigos se despiden del periodista Raúl del Pozo en la capilla ardiente | La Reina Letizia despide a Raúl del Pozo en la Casa de la Villa de Madrid",2026-03-11 20:02,2026-03-11 20:02
2026-03-11 04:00:00,La guerra encarecerá la cesta de la compra en cuestión de semanas - ABC,"20minutos, elpais, google_news_es",3,3,0.749,56,La guerra encarecerá la cesta de la compra en cuestión de semanas - ABC | La guerra con lenguaje sagrado | Escudos contra la guerra,2026-03-11 20:32,2026-03-11 20:32
2026-03-08 20:00:00,"Mojtaba Jamenei, hijo de Alí Jamenei, elegido nuevo líder supremo de Irán","bbc_mundo, eldiario, europapress, heraldo_aragon",4,4,0.52,51,"Quién es Mojtaba Jamenei, el nuevo líder supremo de Irán | Irán elige a Mojtaba Jamenei como nuevo líder supremo: quién es el misterioso hijo del fallecido ayatolá Alí Jamenei | Mojtaba, hijo de Alí Jamenei, elegido nuevo líder supremo de Irán | Mojtaba Jamenei, hijo de Alí Jamenei, elegido nuevo líder supremo de Irán",2026-03-11 21:02,2026-03-11 21:02
2026-03-11 06:00:00,Tres mujeres muertas en un incendio en Miranda de Ebro (Burgos) por un presunto caso de violencia machista,"20minutos, eldiario, infolibre, lavanguardia",4,7,0.417,41,"Tres mujeres muertas en un incendio en Miranda de Ebro (Burgos) por un presunto caso de violencia machista | Un detenido por el incendio que ha dejado tres mujeres muertas en Miranda de Ebro en un nuevo caso de violencia de género | Investigan como violencia machista el incendio con tres mujeres muertas en Miranda tras entregarse el presunto autor | Interior confirma como violencia machista el asesinato de tres mujeres en un incendio en Miranda de Ebro | Un hombre mata a tres mujeres tras provocar un incendio en Miranda de Ebro, en un nuevo caso violencia machista",2026-03-11 21:32,2026-03-11 21:32
2026-03-08 20:00:00,"Mojtaba Jamenei, el hijo del fallecido ayatolá Alí Jamenei, es electo nuevo líder supremo de Irán","bbc_mundo, eldiario, heraldo_aragon",3,4,0.503,37,"Quién es Mojtaba Jamenei, el nuevo líder supremo de Irán | Mojtaba Jamenei, el hijo del fallecido ayatolá Alí Jamenei, es electo nuevo líder supremo de Irán | Irán elige a Mojtaba Jamenei como nuevo líder supremo: quién es el misterioso hijo del fallecido ayatolá Alí Jamenei | Mojtaba, hijo de Alí Jamenei, elegido nuevo líder supremo de Irán",2026-03-11 21:32,2026-03-11 21:32
2026-03-11 14:00:00,La AIE liberará 400 millones de barriles de petróleo de sus reservas,"20minutos, google_news_es, lavanguardia, okdiario",4,5,0.555,55,"La AIE libera 400 millones de barriles de petróleo de sus reservas y apenas cubrirá una semana de suministro | Países de la AIE liberan 400 millones de barriles de petróleo de sus reservas estratégicas - SWI swissinfo.ch | La AIE liberará 400 millones de barriles de petróleo de sus reservas | La AIE acuerda liberar 400 millones de barriles de petróleo de sus reservas, la mayor cifra de su historia | Los países de la AIE liberarán 400 millones de barriles de petróleo por la guerra de Irán y España aportará hasta un 2% de sus reservas",2026-03-11 22:32,2026-03-11 22:32
2026-03-11 20:00:00,Bonoloto: comprobar sorteo del miércoles 11 de marzo,"elcorreo, elpais, google_news_es, levante_emv",4,4,0.546,54,Sorteo Bonoloto del miércoles 11 de marzo de 2026 | Bonoloto: comprobar sorteo del miércoles 11 de marzo | Bonoloto: comprobar sorteo del miércoles 11 de marzo - EL PAÍS | La Bonoloto del miércoles: comprobar resultados del 11 de marzo,2026-03-11 22:32,2026-03-11 22:32
2026-03-08 22:00:00,El precio del petróleo supera los 100 dólares por barril por la guerra de Irán,"elcorreo, eldiario, okdiario",3,3,0.429,32,El precio del petróleo supera los 100 dólares por barril por la guerra de Irán | La guerra en Irán dispara el precio del barril de petróleo por encima de los 100 dólares | El petróleo sigue disparándose por la guerra de Irán y ya supera los 100 dólares por barril,2026-03-11 22:32,2026-03-11 22:32
2026-03-11 06:00:00,Inditex desafía la incertidumbre geopolítica con un beneficio récord de 6.220 millones,"20minutos, expansion, google_news_es",3,3,0.567,42,"Inditex disparó un 6% su beneficio el año pasado hasta el récord de 6.220 millones | Inditex: beneficio récord de 6.220 millones y eleva dividendo a 1,75 euros - Yahoo | Inditex desafía la incertidumbre geopolítica con un beneficio récord de 6.220 millones",2026-03-11 23:32,2026-03-11 23:32
2026-03-11 10:00:00,"Koldo García, en la comisión del Parlamento de Navarra: ""Esto acaba de empezar""","elconfidencial, eldiario, elpais",3,4,0.58,43,"Koldo García se niega a declarar ante el Parlamento de Navarra: “Tengan su minuto de gloria en este circo mediático” | Koldo García se niega a declarar en la comisión de Navarra y dice que se conocerá ""la verdad con el tiempo"" | Koldo García, en la comisión del Parlamento de Navarra: ""Esto acaba de empezar"" | Koldo García comparece en la comisión de investigación del Parlamento de Navarra",2026-03-12 00:02,2026-03-12 00:02
2026-03-11 10:00:00,"Tres menores heridos, dos graves, en una explosión durante un experimento de química en Girona","20minutos, europapress, lavanguardia",3,6,0.565,42,"Tres menores heridos, dos graves, en una explosión durante un experimento de química en Girona | Tres niños de 9 años heridos, dos graves, en una explosión durante un experimento de química en Girona | Tres niños de 9 años heridos, dos graves, en una explosión en un experimento químico en un colegio de Girona | Tres niños de nueve años heridos, dos de ellos graves, por una explosión en un experimento escolar de química en Girona | Tres menores heridos, dos de ellos graves, tras una explosión durante un experimento escolar",2026-03-12 00:02,2026-03-12 00:02
2026-03-11 18:00:00,Detenidos los hermanos tras hallar restos óseos en una vivienda registrada por la desaparición de Francisca Cadenas,"20minutos, elcorreo, elespanol",3,4,0.437,32,Detenidos los hermanos tras hallar restos óseos en una vivienda registrada por la desaparición de Francisca Cadenas | Detenidos los investigados por la desaparición de Francisca Cadenas en 2017 después de hallar restos óseos en una vivienda | Hallan restos óseos en una vivienda registrada por la desaparición de Francisca Cadenas | La UCO detiene a dos hermanos por la desaparición de Francisca Cadenas tras hallar restos óseos bajo unas baldosas en su casa,2026-03-12 00:02,2026-03-12 00:02
2026-03-11 12:00:00,Otro caso de peste porcina en Barcelona obliga a volver a cerrar el Parque de Collserola,"20minutos, eldiario, lavanguardia",3,6,0.677,50,"El primer caso de peste porcina africana en la ciudad de Barcelona obliga a cerrar el parque natural de Collserola | Otro caso de peste porcina en Barcelona obliga a volver a cerrar el Parque de Collserola | Un nuevo caso de peste porcina en Barcelona obliga a volver a cerrar el Parque de Collserola | Un nuevo caso de peste porcina en Barcelona obliga a volver a cerrar el parque de Collserola | Detectado el primer caso de peste porcina en Barcelona, que obliga a cerrar el Parque de Collserola",2026-03-12 01:32,2026-03-12 01:32
2026-03-11 10:00:00,"Tres niños heridos, dos graves, por una explosión en un experimento escolar","20minutos, europapress, lavanguardia",3,7,0.579,43,"Tres menores heridos, dos graves, en una explosión durante un experimento de química en Girona | Tres niños de 9 años heridos, dos graves, en una explosión durante un experimento de química en Girona | Tres niños de 9 años heridos, dos graves, en una explosión en un experimento químico en un colegio de Girona | Tres niños de nueve años heridos, dos de ellos graves, por una explosión en un experimento escolar de química en Girona | Tres niños heridos, dos graves, por una explosión en un experimento escolar",2026-03-12 02:32,2026-03-12 02:32
2026-03-11 18:00:00,'The New York Times' afirma que EEUU fue el responsable del ataque a una escuela en el sur de Irán,"google_news_es, infolibre, levante_emv",3,4,0.488,36,"'The New York Times' afirma que EEUU fue el responsable del ataque a una escuela en el sur de Irán | Un error de coordenadas provocó el ataque de EEUU contra la escuela iraní, según 'The New York Times' | EE. UU. es responsable del bombardeo a una escuela en Irán, según una investigación preliminar - The New York Times | Estados Unidos es responsable del ataque a una escuela de niñas en Irán, segun un informe preliminar - The New York Times",2026-03-12 02:32,2026-03-12 02:32
2026-03-11 14:00:00,La AIE liberará 400 millones de barriles de petróleo en la mayor intervención de su historia,"elpais, europapress, google_news_es, lavanguardia",4,4,0.615,61,La AIE liberará 400 millones de barriles de petróleo en la mayor intervención de su historia - El Economista | La AIE liberará 400 millones de barriles de petróleo de sus reservas | La AIE acuerda liberar 400 millones de barriles en la mayor intervención de reservas de petróleo de la historia | La AIE liberará 400 millones de barriles de petróleo en la mayor intervención de su historia,2026-03-12 03:02,2026-03-12 03:02
