block,total,pro,anti,neutral,avg_score,dominant,pro_pct,anti_pct,last_update
UE,53732,5183,3,48546,0.096,pro,9.6,0.0,2026-04-25 10:35:50
EEUU,22189,1,17218,4970,-0.776,anti,0.0,77.6,2026-04-25 10:35:50
Inmigración,1389,870,106,413,0.55,pro,62.6,7.6,2026-04-25 10:35:50
OTAN,1091,1038,23,30,0.929,pro,95.1,2.1,2026-04-25 10:35:50
China,1054,21,3,1030,0.017,pro,2.0,0.3,2026-04-25 10:35:50
MERCOSUR,655,166,0,489,0.253,pro,25.3,0.0,2026-04-25 10:35:50
Rusia,586,7,22,557,-0.026,anti,1.2,3.8,2026-04-25 10:35:50
