persona,mentions,positive,negative,neutral,sentiment_score,top_sources,last_title,last_update,cycle
Trump,1807,105,97,1605,0.004,"{'lavanguardia': 237, 'google_news_es': 184, '20minutos': 172, 'google_news_internacional': 121, 'elpais': 109}",Donald Trump vs. Xi Jinping: ¿quién ganará la guerra energética?,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Illa,1730,122,58,1550,0.037,"{'okdiario': 214, '20minutos': 204, 'google_news_es': 187, 'levante_emv': 130, 'heraldo_aragon': 130}",Esta es la camiseta retro especial que el Athletic vestirá ante el Villarreal,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Xi Jinping,1569,142,54,1373,0.056,"{'20minutos': 202, 'google_news_es': 151, 'levante_emv': 140, 'heraldo_aragon': 139, 'lavanguardia': 120}","La UE exige ""pleno respeto al Derecho internacional por todas las partes"" en la guerra de Irán pero no cita a EEUU ni Is",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Abascal,940,113,112,715,0.001,"{'google_news_politica': 83, 'eldiario': 80, 'heraldo_aragon': 80, 'levante_emv': 78, 'google_news_es': 73}",Inda: «PP y Vox están a farolazo limpio mientras Sánchez prepara el pucherazo de las próximas generales»,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Sánchez,928,71,76,781,-0.005,"{'google_news_politica': 147, 'okdiario': 109, '20minutos': 89, 'elespanol': 75, 'huffington_es': 61}",Sánchez pretende tomar Madrid adulterando el censo electoral,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Feijóo,868,114,93,661,0.024,"{'google_news_politica': 86, '20minutos': 84, 'levante_emv': 77, 'okdiario': 73, 'eldiario': 67}",El PP vuelve a votar contra la regularización de inmigrantes y deja solo al alcalde con «su error»,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Jamenei,376,9,7,360,0.005,"{'lavanguardia': 53, 'google_news_es': 42, '20minutos': 40, 'france24_es': 34, 'okdiario': 33}",Vacío de poder en Irán tras asesinato de Alí Larijani y ausencia de Mojtaba Jamenei,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Mazón,248,6,25,217,-0.077,"{'elpais': 63, 'lavanguardia': 50, 'levante_emv': 22, 'google_news_es': 21, '20minutos': 17}",La falla 'No olvidar la dana' rinde homenaje a las víctimas mientras reclaman que Mazón testifique,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Ayuso,225,22,9,194,0.058,"{'okdiario': 32, 'google_news_es': 25, 'eldiario': 25, 'elpais': 24, 'huffington_es': 19}",Sanidad prepara nuevas medidas legales contra Ayuso ante la “obstinada desobediencia” en el registro de objetores del ab,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Yolanda Díaz,196,15,14,167,0.005,"{'20minutos': 26, 'levante_emv': 18, 'elcorreo': 15, 'okdiario': 15, 'lavanguardia': 14}",Sumar aprieta hasta el último minuto para intervenir la vivienda en el plan anticrisis,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Puente,142,5,15,122,-0.07,"{'okdiario': 19, 'levante_emv': 16, 'heraldo_aragon': 15, 'google_news_internacional': 15, '20minutos': 14}",El ministro Óscar López respalda a Puente: «Está volcado con que Málaga recupere la conectividad cuanto antes»,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Zelenski,105,6,6,93,0.0,"{'20minutos': 22, 'google_news_es': 14, 'levante_emv': 11, 'elmundo_internacional': 9, 'heraldo_aragon': 8}",Zelenski reactiva la vía diplomática con EE.UU. sobre la invasión rusa en Ucrania,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Putin,94,6,3,85,0.032,"{'20minutos': 17, 'okdiario': 11, 'google_news_es': 10, 'lavanguardia': 7, 'heraldo_aragon': 7}",Tolstói frente a Putin y Trump,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Macron,89,24,2,63,0.247,"{'france24_es': 13, '20minutos': 11, 'heraldo_aragon': 9, 'levante_emv': 8, 'google_news_es': 8}","Macron, acusado de favorecer la candidatura de derecha dura de Rachida Dati en París - El Mundo",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Milei,88,3,5,80,-0.023,"{'google_news_politica': 27, 'elpais': 11, '20minutos': 5, 'eldiario': 5, 'lavanguardia': 5}",Macri reaparece y postula a su partido como el “próximo paso” para Argentina tras Milei,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Lula,41,3,0,38,0.073,"{'google_news_es': 21, '20minutos': 6, 'levante_emv': 5, 'elpais': 4, 'heraldo_aragon': 1}",Unas células inmunitarias reforzadas con un ‘anzuelo’ logran cazar mejor el cáncer,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Puigdemont,41,2,8,31,-0.146,"{'lavanguardia': 15, 'levante_emv': 4, 'elpais': 4, 'elcorreo': 4, '20minutos': 2}","Aliança presenta a su candidato en Amposta, un concejal no adscrito que salió de Junts",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Irene Montero,40,0,5,35,-0.125,"{'huffington_es': 6, 'elespanol': 5, 'elpais': 5, 'europapress': 4, 'google_news_politica': 3}",Emilio Delgado se pronuncia sobre el próximo acto de la izquierda con Rufián e Irene Montero - ElPlural.com,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Modi,33,0,0,33,0.0,"{'levante_emv': 5, 'lavanguardia': 4, 'elpais': 4, 'heraldo_aragon': 4, 'google_news_es': 3}","La UEFA convoca a las ligas europeas para modificar el VAR: ""Hemos olvidado las razones de su aplicación""",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Rajoy,20,2,0,18,0.1,"{'levante_emv': 4, 'elpais': 4, 'google_news_es': 3, 'google_news_politica': 2, 'elespanol': 2}",La tasa de pobreza infantil ha crecido desde 2018 aunque sigue por debajo de niveles registrados con Rajoy,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Meloni,18,0,2,16,-0.111,"{'lavanguardia': 4, 'levante_emv': 3, 'infolibre': 3, 'eldiario': 2, 'france24_es': 1}",Italia vota un referéndum sobre la justicia que pone a prueba a Meloni,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Starmer,18,2,0,16,0.111,"{'lavanguardia': 2, 'france24_es': 2, 'huffington_es': 2, 'infolibre': 2, 'levante_emv': 2}",El presidente de Irlanda defiende a Starmer ante Trump: “Es una persona sólida y seria”,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Montero MJ,13,0,3,10,-0.231,"{'levante_emv': 5, 'heraldo_aragon': 2, 'elespanol': 2, 'lavanguardia': 1, 'okdiario': 1}","María Jesús Montero confirma que se va a ""retrasar"" la presentación de Presupuestos por dar prioridad a medidas contra l",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Erdogan,8,0,2,6,-0.25,"{'levante_emv': 2, 'france24_es': 2, 'elpais_internacional': 1, 'google_news_internacional': 1, 'elpais': 1}","Ekrem Imamoglu, el principal rival de Erdogan en Turquía, cumple un año entre rejas",2026-03-19 23:06:00+00:00,2026-03-19 23:06
Scholz,0,0,0,0,0.0,,,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Trudeau,0,0,0,0,0.0,,,2026-03-19 23:06:00+00:00,2026-03-19 23:06
Trump,1809,105,97,1607,0.004,"{'lavanguardia': 238, 'google_news_es': 184, '20minutos': 172, 'google_news_internacional': 121, 'elpais': 109}",Netanyahu cede ante Trump: «Nos pidió que evitemos más ataques a complejos de gas y lo estamos haciendo»,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Illa,1730,122,58,1550,0.037,"{'okdiario': 214, '20minutos': 204, 'google_news_es': 187, 'levante_emv': 130, 'heraldo_aragon': 130}",Esta es la camiseta retro especial que el Athletic vestirá ante el Villarreal,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Xi Jinping,1570,143,54,1373,0.057,"{'20minutos': 202, 'google_news_es': 151, 'levante_emv': 140, 'heraldo_aragon': 139, 'lavanguardia': 120}","La UE exige ""pleno respeto al Derecho internacional por todas las partes"" en la guerra de Irán pero no cita a EEUU ni Is",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Abascal,941,113,112,716,0.001,"{'google_news_politica': 83, 'eldiario': 80, 'heraldo_aragon': 80, 'levante_emv': 78, 'google_news_es': 73}",OKDIARIO sorprende a Abascal viendo ‘Torrente presidente’ y su parodia de Nox: «En este caso la ficción supera a la real,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Sánchez,929,71,76,782,-0.005,"{'google_news_politica': 147, 'okdiario': 109, '20minutos': 90, 'elespanol': 75, 'huffington_es': 61}",Sánchez presenta este viernes su plan anticrisis con las gasolinas disparadas y la duda de si incluirá medidas sobre viv,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Feijóo,868,114,93,661,0.024,"{'google_news_politica': 86, '20minutos': 84, 'levante_emv': 77, 'okdiario': 73, 'eldiario': 67}",El PP vuelve a votar contra la regularización de inmigrantes y deja solo al alcalde con «su error»,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Jamenei,376,9,7,360,0.005,"{'lavanguardia': 53, 'google_news_es': 42, '20minutos': 40, 'france24_es': 34, 'okdiario': 33}",Vacío de poder en Irán tras asesinato de Alí Larijani y ausencia de Mojtaba Jamenei,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Mazón,248,6,25,217,-0.077,"{'elpais': 63, 'lavanguardia': 50, 'levante_emv': 22, 'google_news_es': 21, '20minutos': 17}",La falla 'No olvidar la dana' rinde homenaje a las víctimas mientras reclaman que Mazón testifique,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Ayuso,225,22,9,194,0.058,"{'okdiario': 32, 'google_news_es': 25, 'eldiario': 25, 'elpais': 24, 'huffington_es': 19}",Sanidad prepara nuevas medidas legales contra Ayuso ante la “obstinada desobediencia” en el registro de objetores del ab,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Yolanda Díaz,196,15,14,167,0.005,"{'20minutos': 26, 'levante_emv': 18, 'elcorreo': 15, 'okdiario': 15, 'lavanguardia': 14}",Sumar aprieta hasta el último minuto para intervenir la vivienda en el plan anticrisis,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Puente,142,5,15,122,-0.07,"{'okdiario': 19, 'levante_emv': 16, 'heraldo_aragon': 15, 'google_news_internacional': 15, '20minutos': 14}",El ministro Óscar López respalda a Puente: «Está volcado con que Málaga recupere la conectividad cuanto antes»,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Zelenski,105,6,6,93,0.0,"{'20minutos': 22, 'google_news_es': 14, 'levante_emv': 11, 'elmundo_internacional': 9, 'heraldo_aragon': 8}",Zelenski reactiva la vía diplomática con EE.UU. sobre la invasión rusa en Ucrania,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Putin,94,6,3,85,0.032,"{'20minutos': 17, 'okdiario': 11, 'google_news_es': 10, 'lavanguardia': 7, 'heraldo_aragon': 7}",Tolstói frente a Putin y Trump,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Macron,89,24,2,63,0.247,"{'france24_es': 13, '20minutos': 11, 'heraldo_aragon': 9, 'levante_emv': 8, 'google_news_es': 8}","Macron, acusado de favorecer la candidatura de derecha dura de Rachida Dati en París - El Mundo",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Milei,88,3,5,80,-0.023,"{'google_news_politica': 27, 'elpais': 11, '20minutos': 5, 'eldiario': 5, 'lavanguardia': 5}",Macri reaparece y postula a su partido como el “próximo paso” para Argentina tras Milei,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Lula,41,3,0,38,0.073,"{'google_news_es': 21, '20minutos': 6, 'levante_emv': 5, 'elpais': 4, 'heraldo_aragon': 1}",Unas células inmunitarias reforzadas con un ‘anzuelo’ logran cazar mejor el cáncer,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Puigdemont,41,2,8,31,-0.146,"{'lavanguardia': 15, 'levante_emv': 4, 'elpais': 4, 'elcorreo': 4, '20minutos': 2}","Aliança presenta a su candidato en Amposta, un concejal no adscrito que salió de Junts",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Irene Montero,40,0,5,35,-0.125,"{'huffington_es': 6, 'elespanol': 5, 'elpais': 5, 'europapress': 4, 'google_news_politica': 3}",Emilio Delgado se pronuncia sobre el próximo acto de la izquierda con Rufián e Irene Montero - ElPlural.com,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Modi,33,0,0,33,0.0,"{'levante_emv': 5, 'lavanguardia': 4, 'elpais': 4, 'heraldo_aragon': 4, 'google_news_es': 3}","La UEFA convoca a las ligas europeas para modificar el VAR: ""Hemos olvidado las razones de su aplicación""",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Rajoy,20,2,0,18,0.1,"{'levante_emv': 4, 'elpais': 4, 'google_news_es': 3, 'google_news_politica': 2, 'elespanol': 2}",La tasa de pobreza infantil ha crecido desde 2018 aunque sigue por debajo de niveles registrados con Rajoy,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Meloni,18,0,2,16,-0.111,"{'lavanguardia': 4, 'levante_emv': 3, 'infolibre': 3, 'eldiario': 2, 'france24_es': 1}",Italia vota un referéndum sobre la justicia que pone a prueba a Meloni,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Starmer,18,2,0,16,0.111,"{'lavanguardia': 2, 'france24_es': 2, 'huffington_es': 2, 'infolibre': 2, 'levante_emv': 2}",El presidente de Irlanda defiende a Starmer ante Trump: “Es una persona sólida y seria”,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Montero MJ,13,0,3,10,-0.231,"{'levante_emv': 5, 'heraldo_aragon': 2, 'elespanol': 2, 'lavanguardia': 1, 'okdiario': 1}","María Jesús Montero confirma que se va a ""retrasar"" la presentación de Presupuestos por dar prioridad a medidas contra l",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Erdogan,8,0,2,6,-0.25,"{'levante_emv': 2, 'france24_es': 2, 'elpais_internacional': 1, 'google_news_internacional': 1, 'elpais': 1}","Ekrem Imamoglu, el principal rival de Erdogan en Turquía, cumple un año entre rejas",2026-03-19 23:35:00+00:00,2026-03-19 23:35
Scholz,0,0,0,0,0.0,,,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Trudeau,0,0,0,0,0.0,,,2026-03-19 23:35:00+00:00,2026-03-19 23:35
Trump,1809,105,97,1607,0.004,"{'lavanguardia': 238, 'google_news_es': 184, '20minutos': 172, 'google_news_internacional': 121, 'elpais': 109}",Netanyahu cede ante Trump: «Nos pidió que evitemos más ataques a complejos de gas y lo estamos haciendo»,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Illa,1731,122,58,1551,0.037,"{'okdiario': 214, '20minutos': 204, 'google_news_es': 187, 'levante_emv': 130, 'heraldo_aragon': 130}",Los científicos no dan crédito: los pájaros urbanos ponen colillas de cigarrillo en sus nidos porque la nicotina mata pu,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Xi Jinping,1572,143,54,1375,0.057,"{'20minutos': 202, 'google_news_es': 151, 'levante_emv': 141, 'heraldo_aragon': 139, 'lavanguardia': 120}",Al menos 11 muertos en un operativo contra el Cártel de Sinaloa en México,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Abascal,941,113,112,716,0.001,"{'google_news_politica': 83, 'eldiario': 80, 'heraldo_aragon': 80, 'levante_emv': 78, 'google_news_es': 73}",OKDIARIO sorprende a Abascal viendo ‘Torrente presidente’ y su parodia de Nox: «En este caso la ficción supera a la real,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Sánchez,929,71,76,782,-0.005,"{'google_news_politica': 147, 'okdiario': 109, '20minutos': 90, 'elespanol': 75, 'huffington_es': 61}",Sánchez presenta este viernes su plan anticrisis con las gasolinas disparadas y la duda de si incluirá medidas sobre viv,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Feijóo,869,114,93,662,0.024,"{'google_news_politica': 86, '20minutos': 84, 'levante_emv': 77, 'okdiario': 73, 'eldiario': 67}",El PP cree que el presupuesto más alto de la historia en Miranda «es el peor aprovechado»,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Jamenei,376,9,7,360,0.005,"{'lavanguardia': 53, 'google_news_es': 42, '20minutos': 40, 'france24_es': 34, 'okdiario': 33}",Vacío de poder en Irán tras asesinato de Alí Larijani y ausencia de Mojtaba Jamenei,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Mazón,248,6,25,217,-0.077,"{'elpais': 63, 'lavanguardia': 50, 'levante_emv': 22, 'google_news_es': 21, '20minutos': 17}",La falla 'No olvidar la dana' rinde homenaje a las víctimas mientras reclaman que Mazón testifique,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Ayuso,225,22,9,194,0.058,"{'okdiario': 32, 'google_news_es': 25, 'eldiario': 25, 'elpais': 24, 'huffington_es': 19}",Sanidad prepara nuevas medidas legales contra Ayuso ante la “obstinada desobediencia” en el registro de objetores del ab,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Yolanda Díaz,196,15,14,167,0.005,"{'20minutos': 26, 'levante_emv': 18, 'elcorreo': 15, 'okdiario': 15, 'lavanguardia': 14}",Sumar aprieta hasta el último minuto para intervenir la vivienda en el plan anticrisis,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Puente,142,5,15,122,-0.07,"{'okdiario': 19, 'levante_emv': 16, 'heraldo_aragon': 15, 'google_news_internacional': 15, '20minutos': 14}",El ministro Óscar López respalda a Puente: «Está volcado con que Málaga recupere la conectividad cuanto antes»,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Zelenski,105,6,6,93,0.0,"{'20minutos': 22, 'google_news_es': 14, 'levante_emv': 11, 'elmundo_internacional': 9, 'heraldo_aragon': 8}",Zelenski reactiva la vía diplomática con EE.UU. sobre la invasión rusa en Ucrania,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Putin,94,6,3,85,0.032,"{'20minutos': 17, 'okdiario': 11, 'google_news_es': 10, 'lavanguardia': 7, 'heraldo_aragon': 7}",Tolstói frente a Putin y Trump,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Macron,89,24,2,63,0.247,"{'france24_es': 13, '20minutos': 11, 'heraldo_aragon': 9, 'levante_emv': 8, 'google_news_es': 8}","Macron, acusado de favorecer la candidatura de derecha dura de Rachida Dati en París - El Mundo",2026-03-20 00:05:00+00:00,2026-03-20 00:05
Milei,88,3,5,80,-0.023,"{'google_news_politica': 27, 'elpais': 11, '20minutos': 5, 'eldiario': 5, 'lavanguardia': 5}",Macri reaparece y postula a su partido como el “próximo paso” para Argentina tras Milei,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Lula,41,3,0,38,0.073,"{'google_news_es': 21, '20minutos': 6, 'levante_emv': 5, 'elpais': 4, 'heraldo_aragon': 1}",Unas células inmunitarias reforzadas con un ‘anzuelo’ logran cazar mejor el cáncer,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Puigdemont,41,2,8,31,-0.146,"{'lavanguardia': 15, 'levante_emv': 4, 'elpais': 4, 'elcorreo': 4, '20minutos': 2}","Aliança presenta a su candidato en Amposta, un concejal no adscrito que salió de Junts",2026-03-20 00:05:00+00:00,2026-03-20 00:05
Irene Montero,40,0,5,35,-0.125,"{'huffington_es': 6, 'elespanol': 5, 'elpais': 5, 'europapress': 4, 'google_news_politica': 3}",Emilio Delgado se pronuncia sobre el próximo acto de la izquierda con Rufián e Irene Montero - ElPlural.com,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Modi,33,0,0,33,0.0,"{'levante_emv': 5, 'lavanguardia': 4, 'elpais': 4, 'heraldo_aragon': 4, 'google_news_es': 3}","La UEFA convoca a las ligas europeas para modificar el VAR: ""Hemos olvidado las razones de su aplicación""",2026-03-20 00:05:00+00:00,2026-03-20 00:05
Rajoy,20,2,0,18,0.1,"{'levante_emv': 4, 'elpais': 4, 'google_news_es': 3, 'google_news_politica': 2, 'elespanol': 2}",La tasa de pobreza infantil ha crecido desde 2018 aunque sigue por debajo de niveles registrados con Rajoy,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Meloni,18,0,2,16,-0.111,"{'lavanguardia': 4, 'levante_emv': 3, 'infolibre': 3, 'eldiario': 2, 'france24_es': 1}",Italia vota un referéndum sobre la justicia que pone a prueba a Meloni,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Starmer,18,2,0,16,0.111,"{'lavanguardia': 2, 'france24_es': 2, 'huffington_es': 2, 'infolibre': 2, 'levante_emv': 2}",El presidente de Irlanda defiende a Starmer ante Trump: “Es una persona sólida y seria”,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Montero MJ,13,0,3,10,-0.231,"{'levante_emv': 5, 'heraldo_aragon': 2, 'elespanol': 2, 'lavanguardia': 1, 'okdiario': 1}","María Jesús Montero confirma que se va a ""retrasar"" la presentación de Presupuestos por dar prioridad a medidas contra l",2026-03-20 00:05:00+00:00,2026-03-20 00:05
Erdogan,8,0,2,6,-0.25,"{'levante_emv': 2, 'france24_es': 2, 'elpais_internacional': 1, 'google_news_internacional': 1, 'elpais': 1}","Ekrem Imamoglu, el principal rival de Erdogan en Turquía, cumple un año entre rejas",2026-03-20 00:05:00+00:00,2026-03-20 00:05
Scholz,0,0,0,0,0.0,,,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Trudeau,0,0,0,0,0.0,,,2026-03-20 00:05:00+00:00,2026-03-20 00:05
Trump,1809,105,97,1607,0.004,"{'lavanguardia': 238, 'google_news_es': 184, '20minutos': 172, 'google_news_internacional': 121, 'elpais': 109}",Netanyahu cede ante Trump: «Nos pidió que evitemos más ataques a complejos de gas y lo estamos haciendo»,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Illa,1732,122,58,1552,0.037,"{'okdiario': 214, '20minutos': 204, 'google_news_es': 188, 'levante_emv': 130, 'heraldo_aragon': 130}",Los científicos no dan crédito: los pájaros urbanos ponen colillas de cigarrillo en sus nidos porque la nicotina mata pu,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Xi Jinping,1575,143,54,1378,0.057,"{'20minutos': 202, 'google_news_es': 151, 'levante_emv': 141, 'heraldo_aragon': 139, 'lavanguardia': 121}","Nace SICON México, la Semana Internacional de la Construcción - Construnario",2026-03-20 00:35:00+00:00,2026-03-20 00:35
Abascal,943,113,112,718,0.001,"{'google_news_politica': 83, 'eldiario': 80, 'heraldo_aragon': 80, 'levante_emv': 78, 'google_news_es': 73}",OKDIARIO sorprende a Abascal viendo ‘Torrente presidente’ y su parodia de Nox: «En este caso la ficción supera a la real,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Sánchez,930,71,76,783,-0.005,"{'google_news_politica': 147, 'okdiario': 109, '20minutos': 90, 'elespanol': 75, 'huffington_es': 61}",Sánchez presenta este viernes su plan anticrisis con las gasolinas disparadas y la duda de si incluirá medidas sobre viv,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Feijóo,869,114,93,662,0.024,"{'google_news_politica': 86, '20minutos': 84, 'levante_emv': 77, 'okdiario': 73, 'eldiario': 67}",El PP cree que el presupuesto más alto de la historia en Miranda «es el peor aprovechado»,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Jamenei,376,9,7,360,0.005,"{'lavanguardia': 53, 'google_news_es': 42, '20minutos': 40, 'france24_es': 34, 'okdiario': 33}",Vacío de poder en Irán tras asesinato de Alí Larijani y ausencia de Mojtaba Jamenei,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Mazón,248,6,25,217,-0.077,"{'elpais': 63, 'lavanguardia': 50, 'levante_emv': 22, 'google_news_es': 21, '20minutos': 17}",La falla 'No olvidar la dana' rinde homenaje a las víctimas mientras reclaman que Mazón testifique,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Ayuso,225,22,9,194,0.058,"{'okdiario': 32, 'google_news_es': 25, 'eldiario': 25, 'elpais': 24, 'huffington_es': 19}",Sanidad prepara nuevas medidas legales contra Ayuso ante la “obstinada desobediencia” en el registro de objetores del ab,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Yolanda Díaz,196,15,14,167,0.005,"{'20minutos': 26, 'levante_emv': 18, 'elcorreo': 15, 'okdiario': 15, 'lavanguardia': 14}",Sumar aprieta hasta el último minuto para intervenir la vivienda en el plan anticrisis,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Puente,142,5,15,122,-0.07,"{'okdiario': 19, 'levante_emv': 16, 'heraldo_aragon': 15, 'google_news_internacional': 15, '20minutos': 14}",El ministro Óscar López respalda a Puente: «Está volcado con que Málaga recupere la conectividad cuanto antes»,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Zelenski,105,6,6,93,0.0,"{'20minutos': 22, 'google_news_es': 14, 'levante_emv': 11, 'elmundo_internacional': 9, 'heraldo_aragon': 8}",Zelenski reactiva la vía diplomática con EE.UU. sobre la invasión rusa en Ucrania,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Putin,94,6,3,85,0.032,"{'20minutos': 17, 'okdiario': 11, 'google_news_es': 10, 'lavanguardia': 7, 'heraldo_aragon': 7}",Tolstói frente a Putin y Trump,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Macron,89,24,2,63,0.247,"{'france24_es': 13, '20minutos': 11, 'heraldo_aragon': 9, 'levante_emv': 8, 'google_news_es': 8}","Macron, acusado de favorecer la candidatura de derecha dura de Rachida Dati en París - El Mundo",2026-03-20 00:35:00+00:00,2026-03-20 00:35
Milei,88,3,5,80,-0.023,"{'google_news_politica': 27, 'elpais': 11, '20minutos': 5, 'eldiario': 5, 'lavanguardia': 5}",Macri reaparece y postula a su partido como el “próximo paso” para Argentina tras Milei,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Lula,41,3,0,38,0.073,"{'google_news_es': 21, '20minutos': 6, 'levante_emv': 5, 'elpais': 4, 'heraldo_aragon': 1}",Unas células inmunitarias reforzadas con un ‘anzuelo’ logran cazar mejor el cáncer,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Puigdemont,41,2,8,31,-0.146,"{'lavanguardia': 15, 'levante_emv': 4, 'elpais': 4, 'elcorreo': 4, '20minutos': 2}","Aliança presenta a su candidato en Amposta, un concejal no adscrito que salió de Junts",2026-03-20 00:35:00+00:00,2026-03-20 00:35
Irene Montero,40,0,5,35,-0.125,"{'huffington_es': 6, 'elespanol': 5, 'elpais': 5, 'europapress': 4, 'google_news_politica': 3}",Emilio Delgado se pronuncia sobre el próximo acto de la izquierda con Rufián e Irene Montero - ElPlural.com,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Modi,33,0,0,33,0.0,"{'levante_emv': 5, 'lavanguardia': 4, 'elpais': 4, 'heraldo_aragon': 4, 'google_news_es': 3}","La UEFA convoca a las ligas europeas para modificar el VAR: ""Hemos olvidado las razones de su aplicación""",2026-03-20 00:35:00+00:00,2026-03-20 00:35
Rajoy,20,2,0,18,0.1,"{'levante_emv': 4, 'elpais': 4, 'google_news_es': 3, 'google_news_politica': 2, 'elespanol': 2}",La tasa de pobreza infantil ha crecido desde 2018 aunque sigue por debajo de niveles registrados con Rajoy,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Meloni,18,0,2,16,-0.111,"{'lavanguardia': 4, 'levante_emv': 3, 'infolibre': 3, 'eldiario': 2, 'france24_es': 1}",Italia vota un referéndum sobre la justicia que pone a prueba a Meloni,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Starmer,18,2,0,16,0.111,"{'lavanguardia': 2, 'france24_es': 2, 'huffington_es': 2, 'infolibre': 2, 'levante_emv': 2}",El presidente de Irlanda defiende a Starmer ante Trump: “Es una persona sólida y seria”,2026-03-20 00:35:00+00:00,2026-03-20 00:35
Montero MJ,13,0,3,10,-0.231,"{'levante_emv': 5, 'heraldo_aragon': 2, 'elespanol': 2, 'lavanguardia': 1, 'okdiario': 1}","María Jesús Montero confirma que se va a ""retrasar"" la presentación de Presupuestos por dar prioridad a medidas contra l",2026-03-20 00:35:00+00:00,2026-03-20 00:35
